FID	IID	TraitID	TraitName	Pop	PGS	Population	SuperPop
HG02465	HG02465	ieu-b-4813	Height	AFR	-127.438	GWD	AFR
HG02470	HG02470	ieu-b-4813	Height	AFR	338.009	ACB	AFR
HG02471	HG02471	ieu-b-4813	Height	AFR	378.367	ACB	AFR
HG02476	HG02476	ieu-b-4813	Height	AFR	-627.673	ACB	AFR
HG02477	HG02477	ieu-b-4813	Height	AFR	-109.683	ACB	AFR
HG02479	HG02479	ieu-b-4813	Height	AFR	160.626	ACB	AFR
HG02481	HG02481	ieu-b-4813	Height	AFR	-655.456	ACB	AFR
HG02484	HG02484	ieu-b-4813	Height	AFR	-585.165	ACB	AFR
HG02485	HG02485	ieu-b-4813	Height	AFR	-376.027	ACB	AFR
HG02489	HG02489	ieu-b-4813	Height	AFR	-678.533	ACB	AFR
HG02496	HG02496	ieu-b-4813	Height	AFR	108.108	ACB	AFR
HG02497	HG02497	ieu-b-4813	Height	AFR	-625.351	ACB	AFR
HG02501	HG02501	ieu-b-4813	Height	AFR	96.1771	ACB	AFR
HG02502	HG02502	ieu-b-4813	Height	AFR	-1103.16	ACB	AFR
HG02505	HG02505	ieu-b-4813	Height	AFR	-149.799	ACB	AFR
HG02508	HG02508	ieu-b-4813	Height	AFR	-1476.17	ACB	AFR
HG02511	HG02511	ieu-b-4813	Height	AFR	275.014	ACB	AFR
HG02536	HG02536	ieu-b-4813	Height	AFR	-1023.32	ACB	AFR
HG02537	HG02537	ieu-b-4813	Height	AFR	797.272	ACB	AFR
HG02541	HG02541	ieu-b-4813	Height	AFR	-583.547	ACB	AFR
HG02545	HG02545	ieu-b-4813	Height	AFR	1329.86	ACB	AFR
HG02546	HG02546	ieu-b-4813	Height	AFR	-1095.21	ACB	AFR
HG02549	HG02549	ieu-b-4813	Height	AFR	-414.917	ACB	AFR
HG02554	HG02554	ieu-b-4813	Height	AFR	-432.571	ACB	AFR
HG02555	HG02555	ieu-b-4813	Height	AFR	-596.217	ACB	AFR
HG02557	HG02557	ieu-b-4813	Height	AFR	-609.291	ACB	AFR
HG02558	HG02558	ieu-b-4813	Height	AFR	-1206.64	ACB	AFR
HG02561	HG02561	ieu-b-4813	Height	AFR	-214.113	GWD	AFR
HG02562	HG02562	ieu-b-4813	Height	AFR	-539.672	GWD	AFR
HG02568	HG02568	ieu-b-4813	Height	AFR	-1896.25	GWD	AFR
HG02570	HG02570	ieu-b-4813	Height	AFR	-848.356	GWD	AFR
HG02571	HG02571	ieu-b-4813	Height	AFR	-711.871	GWD	AFR
HG02573	HG02573	ieu-b-4813	Height	AFR	-207.637	GWD	AFR
HG02574	HG02574	ieu-b-4813	Height	AFR	-193.863	GWD	AFR
HG02577	HG02577	ieu-b-4813	Height	AFR	-1331.23	ACB	AFR
HG02580	HG02580	ieu-b-4813	Height	AFR	-499.85	ACB	AFR
HG02582	HG02582	ieu-b-4813	Height	AFR	-478.171	GWD	AFR
HG02583	HG02583	ieu-b-4813	Height	AFR	-672.486	GWD	AFR
HG02585	HG02585	ieu-b-4813	Height	AFR	-9.73858	GWD	AFR
HG02586	HG02586	ieu-b-4813	Height	AFR	-245.222	GWD	AFR
HG02588	HG02588	ieu-b-4813	Height	AFR	263.125	GWD	AFR
HG02589	HG02589	ieu-b-4813	Height	AFR	-319.653	GWD	AFR
HG02594	HG02594	ieu-b-4813	Height	AFR	-697.057	GWD	AFR
HG02595	HG02595	ieu-b-4813	Height	AFR	-485.314	GWD	AFR
HG02610	HG02610	ieu-b-4813	Height	AFR	870.503	GWD	AFR
HG02611	HG02611	ieu-b-4813	Height	AFR	-908.469	GWD	AFR
HG02613	HG02613	ieu-b-4813	Height	AFR	213.854	GWD	AFR
HG02614	HG02614	ieu-b-4813	Height	AFR	702.928	GWD	AFR
HG02620	HG02620	ieu-b-4813	Height	AFR	-155.951	GWD	AFR
HG02621	HG02621	ieu-b-4813	Height	AFR	175.775	GWD	AFR
HG02623	HG02623	ieu-b-4813	Height	AFR	-40.9237	GWD	AFR
HG02624	HG02624	ieu-b-4813	Height	AFR	-599.099	GWD	AFR
HG02628	HG02628	ieu-b-4813	Height	AFR	-1770.14	GWD	AFR
HG02629	HG02629	ieu-b-4813	Height	AFR	1006.35	GWD	AFR
HG02634	HG02634	ieu-b-4813	Height	AFR	207.266	GWD	AFR
HG02635	HG02635	ieu-b-4813	Height	AFR	-1086.41	GWD	AFR
HG02642	HG02642	ieu-b-4813	Height	AFR	278.195	GWD	AFR
HG02643	HG02643	ieu-b-4813	Height	AFR	78.3527	GWD	AFR
HG02645	HG02645	ieu-b-4813	Height	AFR	-788.608	GWD	AFR
HG02646	HG02646	ieu-b-4813	Height	AFR	-127.892	GWD	AFR
HG02666	HG02666	ieu-b-4813	Height	AFR	-376.606	GWD	AFR
HG02667	HG02667	ieu-b-4813	Height	AFR	-188.809	GWD	AFR
HG02675	HG02675	ieu-b-4813	Height	AFR	-1749.86	GWD	AFR
HG02676	HG02676	ieu-b-4813	Height	AFR	554.202	GWD	AFR
HG02678	HG02678	ieu-b-4813	Height	AFR	-185.576	GWD	AFR
HG02679	HG02679	ieu-b-4813	Height	AFR	-381.425	GWD	AFR
HG02702	HG02702	ieu-b-4813	Height	AFR	-1013.18	GWD	AFR
HG02703	HG02703	ieu-b-4813	Height	AFR	500.296	GWD	AFR
HG02715	HG02715	ieu-b-4813	Height	AFR	-31.7974	GWD	AFR
HG02716	HG02716	ieu-b-4813	Height	AFR	-598.548	GWD	AFR
HG02721	HG02721	ieu-b-4813	Height	AFR	290.226	GWD	AFR
HG02722	HG02722	ieu-b-4813	Height	AFR	21.6678	GWD	AFR
HG02756	HG02756	ieu-b-4813	Height	AFR	-245.223	GWD	AFR
HG02757	HG02757	ieu-b-4813	Height	AFR	-385.645	GWD	AFR
HG02759	HG02759	ieu-b-4813	Height	AFR	393.1	GWD	AFR
HG02760	HG02760	ieu-b-4813	Height	AFR	-649.745	GWD	AFR
HG02763	HG02763	ieu-b-4813	Height	AFR	165.264	GWD	AFR
HG02768	HG02768	ieu-b-4813	Height	AFR	277.767	GWD	AFR
HG02769	HG02769	ieu-b-4813	Height	AFR	-463.671	GWD	AFR
HG02771	HG02771	ieu-b-4813	Height	AFR	97.1648	GWD	AFR
HG02772	HG02772	ieu-b-4813	Height	AFR	67.2873	GWD	AFR
HG02798	HG02798	ieu-b-4813	Height	AFR	582.222	GWD	AFR
HG02799	HG02799	ieu-b-4813	Height	AFR	103.26	GWD	AFR
HG02804	HG02804	ieu-b-4813	Height	AFR	-739.529	GWD	AFR
HG02805	HG02805	ieu-b-4813	Height	AFR	155.725	GWD	AFR
HG02807	HG02807	ieu-b-4813	Height	AFR	-443.866	GWD	AFR
HG02808	HG02808	ieu-b-4813	Height	AFR	-77.6446	GWD	AFR
HG02810	HG02810	ieu-b-4813	Height	AFR	-39.0678	GWD	AFR
HG02811	HG02811	ieu-b-4813	Height	AFR	-628.388	GWD	AFR
HG02813	HG02813	ieu-b-4813	Height	AFR	-419.839	GWD	AFR
HG02814	HG02814	ieu-b-4813	Height	AFR	-126.766	GWD	AFR
HG02816	HG02816	ieu-b-4813	Height	AFR	57.1371	GWD	AFR
HG02817	HG02817	ieu-b-4813	Height	AFR	510.014	GWD	AFR
HG02819	HG02819	ieu-b-4813	Height	AFR	721.879	GWD	AFR
HG02820	HG02820	ieu-b-4813	Height	AFR	-109.89	GWD	AFR
HG02836	HG02836	ieu-b-4813	Height	AFR	-147.447	GWD	AFR
HG02837	HG02837	ieu-b-4813	Height	AFR	1099.92	GWD	AFR
HG02839	HG02839	ieu-b-4813	Height	AFR	-446.505	GWD	AFR
HG02840	HG02840	ieu-b-4813	Height	AFR	46.8799	GWD	AFR
HG02851	HG02851	ieu-b-4813	Height	AFR	-516.055	GWD	AFR
HG02852	HG02852	ieu-b-4813	Height	AFR	58.0949	GWD	AFR
HG02854	HG02854	ieu-b-4813	Height	AFR	-992.551	GWD	AFR
HG02855	HG02855	ieu-b-4813	Height	AFR	311.836	GWD	AFR
HG02860	HG02860	ieu-b-4813	Height	AFR	237.554	GWD	AFR
HG02861	HG02861	ieu-b-4813	Height	AFR	-203.477	GWD	AFR
HG02870	HG02870	ieu-b-4813	Height	AFR	186.65	GWD	AFR
HG02878	HG02878	ieu-b-4813	Height	AFR	-59.9801	GWD	AFR
HG02879	HG02879	ieu-b-4813	Height	AFR	197.02	GWD	AFR
HG02881	HG02881	ieu-b-4813	Height	AFR	712.768	GWD	AFR
HG02882	HG02882	ieu-b-4813	Height	AFR	-890.033	GWD	AFR
HG02884	HG02884	ieu-b-4813	Height	AFR	-264.161	GWD	AFR
HG02885	HG02885	ieu-b-4813	Height	AFR	514.725	GWD	AFR
HG02887	HG02887	ieu-b-4813	Height	AFR	-763.894	GWD	AFR
HG02888	HG02888	ieu-b-4813	Height	AFR	-666.274	GWD	AFR
HG02890	HG02890	ieu-b-4813	Height	AFR	-197.027	GWD	AFR
HG02891	HG02891	ieu-b-4813	Height	AFR	237.978	GWD	AFR
HG02895	HG02895	ieu-b-4813	Height	AFR	1.97422	GWD	AFR
HG02896	HG02896	ieu-b-4813	Height	AFR	-84.1728	GWD	AFR
HG02922	HG02922	ieu-b-4813	Height	AFR	392.543	ESN	AFR
HG02923	HG02923	ieu-b-4813	Height	AFR	601.909	ESN	AFR
HG02938	HG02938	ieu-b-4813	Height	AFR	33.2731	ESN	AFR
HG02941	HG02941	ieu-b-4813	Height	AFR	-492.445	ESN	AFR
HG02943	HG02943	ieu-b-4813	Height	AFR	407.013	ESN	AFR
HG02944	HG02944	ieu-b-4813	Height	AFR	-125.27	ESN	AFR
HG02946	HG02946	ieu-b-4813	Height	AFR	616.301	ESN	AFR
HG02947	HG02947	ieu-b-4813	Height	AFR	-1011.55	ESN	AFR
HG02952	HG02952	ieu-b-4813	Height	AFR	173.018	ESN	AFR
HG02953	HG02953	ieu-b-4813	Height	AFR	-215.193	ESN	AFR
HG02968	HG02968	ieu-b-4813	Height	AFR	-362.295	ESN	AFR
HG02970	HG02970	ieu-b-4813	Height	AFR	934.869	ESN	AFR
HG02971	HG02971	ieu-b-4813	Height	AFR	816.424	ESN	AFR
HG02973	HG02973	ieu-b-4813	Height	AFR	516.499	ESN	AFR
HG02974	HG02974	ieu-b-4813	Height	AFR	-510.164	ESN	AFR
HG02976	HG02976	ieu-b-4813	Height	AFR	573.01	ESN	AFR
HG02977	HG02977	ieu-b-4813	Height	AFR	450.223	ESN	AFR
HG02979	HG02979	ieu-b-4813	Height	AFR	-77.1624	ESN	AFR
HG02981	HG02981	ieu-b-4813	Height	AFR	1118.69	ESN	AFR
HG02982	HG02982	ieu-b-4813	Height	AFR	-300.33	GWD	AFR
HG02983	HG02983	ieu-b-4813	Height	AFR	-697.074	GWD	AFR
HG03024	HG03024	ieu-b-4813	Height	AFR	80.4707	GWD	AFR
HG03025	HG03025	ieu-b-4813	Height	AFR	-406.992	GWD	AFR
HG03027	HG03027	ieu-b-4813	Height	AFR	-533.771	GWD	AFR
HG03028	HG03028	ieu-b-4813	Height	AFR	-387.262	GWD	AFR
HG03039	HG03039	ieu-b-4813	Height	AFR	-512.579	GWD	AFR
HG03040	HG03040	ieu-b-4813	Height	AFR	-834.92	GWD	AFR
HG03045	HG03045	ieu-b-4813	Height	AFR	452.578	GWD	AFR
HG03046	HG03046	ieu-b-4813	Height	AFR	659.633	GWD	AFR
HG03048	HG03048	ieu-b-4813	Height	AFR	21.9059	GWD	AFR
HG03049	HG03049	ieu-b-4813	Height	AFR	376.165	GWD	AFR
HG03052	HG03052	ieu-b-4813	Height	AFR	-1001.21	MSL	AFR
HG03054	HG03054	ieu-b-4813	Height	AFR	-395.439	MSL	AFR
HG03055	HG03055	ieu-b-4813	Height	AFR	628.881	MSL	AFR
HG03057	HG03057	ieu-b-4813	Height	AFR	-123.909	MSL	AFR
HG03058	HG03058	ieu-b-4813	Height	AFR	-1055.68	MSL	AFR
HG03060	HG03060	ieu-b-4813	Height	AFR	-221.88	MSL	AFR
HG03061	HG03061	ieu-b-4813	Height	AFR	-190.998	MSL	AFR
HG03063	HG03063	ieu-b-4813	Height	AFR	-1046.81	MSL	AFR
HG03064	HG03064	ieu-b-4813	Height	AFR	275.195	MSL	AFR
HG03066	HG03066	ieu-b-4813	Height	AFR	372.922	MSL	AFR
HG03069	HG03069	ieu-b-4813	Height	AFR	-587.542	MSL	AFR
HG03072	HG03072	ieu-b-4813	Height	AFR	-455.271	MSL	AFR
HG03073	HG03073	ieu-b-4813	Height	AFR	320.116	MSL	AFR
HG03074	HG03074	ieu-b-4813	Height	AFR	153.266	MSL	AFR
HG03077	HG03077	ieu-b-4813	Height	AFR	-510.09	MSL	AFR
HG03078	HG03078	ieu-b-4813	Height	AFR	750.054	MSL	AFR
HG03079	HG03079	ieu-b-4813	Height	AFR	-402.641	MSL	AFR
HG03081	HG03081	ieu-b-4813	Height	AFR	584.877	MSL	AFR
HG03082	HG03082	ieu-b-4813	Height	AFR	119.321	MSL	AFR
HG03084	HG03084	ieu-b-4813	Height	AFR	369.454	MSL	AFR
HG03085	HG03085	ieu-b-4813	Height	AFR	-448.686	MSL	AFR
HG03086	HG03086	ieu-b-4813	Height	AFR	-186.524	MSL	AFR
HG03088	HG03088	ieu-b-4813	Height	AFR	96.3031	MSL	AFR
HG03091	HG03091	ieu-b-4813	Height	AFR	463.083	MSL	AFR
HG03095	HG03095	ieu-b-4813	Height	AFR	225.074	MSL	AFR
HG03096	HG03096	ieu-b-4813	Height	AFR	-164.815	MSL	AFR
HG03097	HG03097	ieu-b-4813	Height	AFR	-235.407	MSL	AFR
HG03099	HG03099	ieu-b-4813	Height	AFR	-234.076	ESN	AFR
HG03100	HG03100	ieu-b-4813	Height	AFR	564.227	ESN	AFR
HG03103	HG03103	ieu-b-4813	Height	AFR	378.649	ESN	AFR
HG03105	HG03105	ieu-b-4813	Height	AFR	353.733	ESN	AFR
HG03108	HG03108	ieu-b-4813	Height	AFR	599.855	ESN	AFR
HG03109	HG03109	ieu-b-4813	Height	AFR	127.29	ESN	AFR
HG03111	HG03111	ieu-b-4813	Height	AFR	-1122.38	ESN	AFR
HG03112	HG03112	ieu-b-4813	Height	AFR	39.4428	ESN	AFR
HG03114	HG03114	ieu-b-4813	Height	AFR	370.411	ESN	AFR
HG03115	HG03115	ieu-b-4813	Height	AFR	7.45776	ESN	AFR
HG03117	HG03117	ieu-b-4813	Height	AFR	-664.452	ESN	AFR
HG03118	HG03118	ieu-b-4813	Height	AFR	95.2295	ESN	AFR
HG03120	HG03120	ieu-b-4813	Height	AFR	1159.1	ESN	AFR
HG03121	HG03121	ieu-b-4813	Height	AFR	-385.003	ESN	AFR
HG03123	HG03123	ieu-b-4813	Height	AFR	-272.949	ESN	AFR
HG03124	HG03124	ieu-b-4813	Height	AFR	-1006.6	ESN	AFR
HG03126	HG03126	ieu-b-4813	Height	AFR	79.8468	ESN	AFR
HG03127	HG03127	ieu-b-4813	Height	AFR	-768.945	ESN	AFR
HG03129	HG03129	ieu-b-4813	Height	AFR	263.487	ESN	AFR
HG03130	HG03130	ieu-b-4813	Height	AFR	818.539	ESN	AFR
HG03132	HG03132	ieu-b-4813	Height	AFR	-969.985	ESN	AFR
HG03133	HG03133	ieu-b-4813	Height	AFR	-303.784	ESN	AFR
HG03135	HG03135	ieu-b-4813	Height	AFR	-674.342	ESN	AFR
HG03136	HG03136	ieu-b-4813	Height	AFR	1094.79	ESN	AFR
HG03139	HG03139	ieu-b-4813	Height	AFR	43.7977	ESN	AFR
HG03157	HG03157	ieu-b-4813	Height	AFR	85.0961	ESN	AFR
HG03159	HG03159	ieu-b-4813	Height	AFR	487.616	ESN	AFR
HG03160	HG03160	ieu-b-4813	Height	AFR	-93.3247	ESN	AFR
HG03162	HG03162	ieu-b-4813	Height	AFR	-102.385	ESN	AFR
HG03163	HG03163	ieu-b-4813	Height	AFR	10.606	ESN	AFR
HG03166	HG03166	ieu-b-4813	Height	AFR	81.6762	ESN	AFR
HG03168	HG03168	ieu-b-4813	Height	AFR	-603.029	ESN	AFR
HG03169	HG03169	ieu-b-4813	Height	AFR	399.756	ESN	AFR
HG03172	HG03172	ieu-b-4813	Height	AFR	775.943	ESN	AFR
HG03175	HG03175	ieu-b-4813	Height	AFR	1193.85	ESN	AFR
HG03189	HG03189	ieu-b-4813	Height	AFR	46.9236	ESN	AFR
HG03190	HG03190	ieu-b-4813	Height	AFR	-517.002	ESN	AFR
HG03193	HG03193	ieu-b-4813	Height	AFR	550.12	ESN	AFR
HG03195	HG03195	ieu-b-4813	Height	AFR	1008.08	ESN	AFR
HG03196	HG03196	ieu-b-4813	Height	AFR	-596.712	ESN	AFR
HG03198	HG03198	ieu-b-4813	Height	AFR	139.254	ESN	AFR
HG03199	HG03199	ieu-b-4813	Height	AFR	-346.791	ESN	AFR
HG03202	HG03202	ieu-b-4813	Height	AFR	282.79	ESN	AFR
HG03209	HG03209	ieu-b-4813	Height	AFR	656.017	MSL	AFR
HG03212	HG03212	ieu-b-4813	Height	AFR	188.213	MSL	AFR
HG03224	HG03224	ieu-b-4813	Height	AFR	-377.575	MSL	AFR
HG03225	HG03225	ieu-b-4813	Height	AFR	-141.098	MSL	AFR
HG03240	HG03240	ieu-b-4813	Height	AFR	230.095	GWD	AFR
HG03241	HG03241	ieu-b-4813	Height	AFR	-997.472	GWD	AFR
HG03246	HG03246	ieu-b-4813	Height	AFR	-684.536	GWD	AFR
HG03247	HG03247	ieu-b-4813	Height	AFR	-973.249	GWD	AFR
HG03258	HG03258	ieu-b-4813	Height	AFR	367.704	GWD	AFR
HG03259	HG03259	ieu-b-4813	Height	AFR	-537.126	GWD	AFR
HG03265	HG03265	ieu-b-4813	Height	AFR	-178.443	ESN	AFR
HG03267	HG03267	ieu-b-4813	Height	AFR	-778.212	ESN	AFR
HG03268	HG03268	ieu-b-4813	Height	AFR	795.077	ESN	AFR
HG03270	HG03270	ieu-b-4813	Height	AFR	450.044	ESN	AFR
HG03271	HG03271	ieu-b-4813	Height	AFR	678.314	ESN	AFR
HG03279	HG03279	ieu-b-4813	Height	AFR	226.259	ESN	AFR
HG03280	HG03280	ieu-b-4813	Height	AFR	-151.552	ESN	AFR
HG03291	HG03291	ieu-b-4813	Height	AFR	225.541	ESN	AFR
HG03294	HG03294	ieu-b-4813	Height	AFR	-352.158	ESN	AFR
HG03295	HG03295	ieu-b-4813	Height	AFR	45.1575	ESN	AFR
HG03297	HG03297	ieu-b-4813	Height	AFR	-340.12	ESN	AFR
HG03298	HG03298	ieu-b-4813	Height	AFR	111.534	ESN	AFR
HG03300	HG03300	ieu-b-4813	Height	AFR	672.758	ESN	AFR
HG03301	HG03301	ieu-b-4813	Height	AFR	172.429	ESN	AFR
HG03303	HG03303	ieu-b-4813	Height	AFR	5.71938	ESN	AFR
HG03304	HG03304	ieu-b-4813	Height	AFR	-135.419	ESN	AFR
HG03311	HG03311	ieu-b-4813	Height	AFR	-132.557	ESN	AFR
HG03313	HG03313	ieu-b-4813	Height	AFR	218.85	ESN	AFR
HG03342	HG03342	ieu-b-4813	Height	AFR	623.651	ESN	AFR
HG03343	HG03343	ieu-b-4813	Height	AFR	716.841	ESN	AFR
HG03351	HG03351	ieu-b-4813	Height	AFR	625.127	ESN	AFR
HG03352	HG03352	ieu-b-4813	Height	AFR	18.4546	ESN	AFR
HG03354	HG03354	ieu-b-4813	Height	AFR	-568.976	ESN	AFR
HG03363	HG03363	ieu-b-4813	Height	AFR	-335.26	ESN	AFR
HG03366	HG03366	ieu-b-4813	Height	AFR	234.239	ESN	AFR
HG03367	HG03367	ieu-b-4813	Height	AFR	-227.421	ESN	AFR
HG03369	HG03369	ieu-b-4813	Height	AFR	1154.26	ESN	AFR
HG03370	HG03370	ieu-b-4813	Height	AFR	39.5003	ESN	AFR
HG03372	HG03372	ieu-b-4813	Height	AFR	-299.938	ESN	AFR
HG03376	HG03376	ieu-b-4813	Height	AFR	110.587	MSL	AFR
HG03378	HG03378	ieu-b-4813	Height	AFR	-205.248	MSL	AFR
HG03380	HG03380	ieu-b-4813	Height	AFR	-66.5256	MSL	AFR
HG03382	HG03382	ieu-b-4813	Height	AFR	108.211	MSL	AFR
HG03385	HG03385	ieu-b-4813	Height	AFR	-657.396	MSL	AFR
HG03388	HG03388	ieu-b-4813	Height	AFR	-300.288	MSL	AFR
HG03391	HG03391	ieu-b-4813	Height	AFR	-334.99	MSL	AFR
HG03394	HG03394	ieu-b-4813	Height	AFR	-467.047	MSL	AFR
HG03397	HG03397	ieu-b-4813	Height	AFR	-795.389	MSL	AFR
HG03401	HG03401	ieu-b-4813	Height	AFR	26.2354	MSL	AFR
HG03410	HG03410	ieu-b-4813	Height	AFR	-762.636	MSL	AFR
HG03419	HG03419	ieu-b-4813	Height	AFR	268.894	MSL	AFR
HG03428	HG03428	ieu-b-4813	Height	AFR	-47.8581	MSL	AFR
HG03432	HG03432	ieu-b-4813	Height	AFR	-414.645	MSL	AFR
HG03433	HG03433	ieu-b-4813	Height	AFR	-175.856	MSL	AFR
HG03436	HG03436	ieu-b-4813	Height	AFR	246.258	MSL	AFR
HG03437	HG03437	ieu-b-4813	Height	AFR	-213.621	MSL	AFR
HG03439	HG03439	ieu-b-4813	Height	AFR	-122.855	MSL	AFR
HG03442	HG03442	ieu-b-4813	Height	AFR	197.575	MSL	AFR
HG03445	HG03445	ieu-b-4813	Height	AFR	449.209	MSL	AFR
HG03446	HG03446	ieu-b-4813	Height	AFR	363.469	MSL	AFR
HG03449	HG03449	ieu-b-4813	Height	AFR	-155.301	MSL	AFR
HG03451	HG03451	ieu-b-4813	Height	AFR	-1029.52	MSL	AFR
HG03452	HG03452	ieu-b-4813	Height	AFR	87.9613	MSL	AFR
HG03455	HG03455	ieu-b-4813	Height	AFR	-978.042	MSL	AFR
HG03457	HG03457	ieu-b-4813	Height	AFR	-657.875	MSL	AFR
HG03458	HG03458	ieu-b-4813	Height	AFR	269.197	MSL	AFR
HG03460	HG03460	ieu-b-4813	Height	AFR	227.359	MSL	AFR
HG03461	HG03461	ieu-b-4813	Height	AFR	-482.684	MSL	AFR
HG03464	HG03464	ieu-b-4813	Height	AFR	-61.2409	MSL	AFR
