FID	IID	Trait	Pop	PGS
HG03830	HG03830	ieu-b-4815	SAS	851.36
HG03832	HG03832	ieu-b-4815	SAS	351.68
HG03833	HG03833	ieu-b-4815	SAS	574.89
HG03836	HG03836	ieu-b-4815	SAS	-861.807
HG03837	HG03837	ieu-b-4815	SAS	-200.32
HG03838	HG03838	ieu-b-4815	SAS	769.447
HG03844	HG03844	ieu-b-4815	SAS	173.383
HG03846	HG03846	ieu-b-4815	SAS	844.351
HG03848	HG03848	ieu-b-4815	SAS	-243.093
HG03849	HG03849	ieu-b-4815	SAS	406.704
HG03850	HG03850	ieu-b-4815	SAS	1360.29
HG03851	HG03851	ieu-b-4815	SAS	840.73
HG03854	HG03854	ieu-b-4815	SAS	118.245
HG03856	HG03856	ieu-b-4815	SAS	1049.07
HG03857	HG03857	ieu-b-4815	SAS	177.569
HG03858	HG03858	ieu-b-4815	SAS	138.762
HG03861	HG03861	ieu-b-4815	SAS	1242.11
HG03862	HG03862	ieu-b-4815	SAS	1117.57
HG03863	HG03863	ieu-b-4815	SAS	567.688
HG03864	HG03864	ieu-b-4815	SAS	100.114
HG03866	HG03866	ieu-b-4815	SAS	857.154
HG03867	HG03867	ieu-b-4815	SAS	788.66
HG03868	HG03868	ieu-b-4815	SAS	769.176
HG03869	HG03869	ieu-b-4815	SAS	1214.48
HG03870	HG03870	ieu-b-4815	SAS	593.796
HG03871	HG03871	ieu-b-4815	SAS	431.817
HG03872	HG03872	ieu-b-4815	SAS	166.815
HG03873	HG03873	ieu-b-4815	SAS	1020.32
HG03874	HG03874	ieu-b-4815	SAS	866.539
HG03875	HG03875	ieu-b-4815	SAS	554.742
HG03882	HG03882	ieu-b-4815	SAS	1646.09
HG03884	HG03884	ieu-b-4815	SAS	-134.668
HG03885	HG03885	ieu-b-4815	SAS	1162.27
HG03886	HG03886	ieu-b-4815	SAS	420.975
HG03887	HG03887	ieu-b-4815	SAS	1244.2
HG03888	HG03888	ieu-b-4815	SAS	1180.85
HG03890	HG03890	ieu-b-4815	SAS	468.977
HG03894	HG03894	ieu-b-4815	SAS	448.222
HG03895	HG03895	ieu-b-4815	SAS	734.169
HG03896	HG03896	ieu-b-4815	SAS	1560.88
HG03897	HG03897	ieu-b-4815	SAS	782.964
HG03898	HG03898	ieu-b-4815	SAS	801.473
HG03899	HG03899	ieu-b-4815	SAS	899.942
HG03900	HG03900	ieu-b-4815	SAS	979.227
HG03902	HG03902	ieu-b-4815	SAS	985.904
HG03905	HG03905	ieu-b-4815	SAS	688.561
HG03907	HG03907	ieu-b-4815	SAS	961.577
HG03908	HG03908	ieu-b-4815	SAS	629.614
HG03910	HG03910	ieu-b-4815	SAS	502.166
HG03911	HG03911	ieu-b-4815	SAS	357.072
HG03913	HG03913	ieu-b-4815	SAS	762.981
HG03914	HG03914	ieu-b-4815	SAS	148.854
HG03916	HG03916	ieu-b-4815	SAS	346.82
HG03917	HG03917	ieu-b-4815	SAS	205.076
HG03919	HG03919	ieu-b-4815	SAS	376.489
HG03920	HG03920	ieu-b-4815	SAS	1028.52
HG03922	HG03922	ieu-b-4815	SAS	744.35
HG03925	HG03925	ieu-b-4815	SAS	43.31
HG03926	HG03926	ieu-b-4815	SAS	836.805
HG03928	HG03928	ieu-b-4815	SAS	912.884
HG03931	HG03931	ieu-b-4815	SAS	451.078
HG03934	HG03934	ieu-b-4815	SAS	570.911
HG03937	HG03937	ieu-b-4815	SAS	368.258
HG03940	HG03940	ieu-b-4815	SAS	381.167
HG03941	HG03941	ieu-b-4815	SAS	669.745
HG03943	HG03943	ieu-b-4815	SAS	290.864
HG03944	HG03944	ieu-b-4815	SAS	1136.85
HG03945	HG03945	ieu-b-4815	SAS	411.889
HG03947	HG03947	ieu-b-4815	SAS	958.184
HG03949	HG03949	ieu-b-4815	SAS	879.368
HG03950	HG03950	ieu-b-4815	SAS	473.721
HG03951	HG03951	ieu-b-4815	SAS	531.277
HG03953	HG03953	ieu-b-4815	SAS	1151.3
HG03955	HG03955	ieu-b-4815	SAS	143.631
HG03960	HG03960	ieu-b-4815	SAS	1311.03
HG03963	HG03963	ieu-b-4815	SAS	968.509
HG03965	HG03965	ieu-b-4815	SAS	1201.21
HG03967	HG03967	ieu-b-4815	SAS	719.044
HG03968	HG03968	ieu-b-4815	SAS	819.618
HG03969	HG03969	ieu-b-4815	SAS	-94.929
HG03971	HG03971	ieu-b-4815	SAS	520.285
HG03973	HG03973	ieu-b-4815	SAS	-145.091
HG03974	HG03974	ieu-b-4815	SAS	914.103
HG03976	HG03976	ieu-b-4815	SAS	677.042
HG03977	HG03977	ieu-b-4815	SAS	187.391
HG03978	HG03978	ieu-b-4815	SAS	793.216
HG03985	HG03985	ieu-b-4815	SAS	1146.34
HG03986	HG03986	ieu-b-4815	SAS	528.163
HG03989	HG03989	ieu-b-4815	SAS	-457.291
HG03990	HG03990	ieu-b-4815	SAS	431.555
HG03991	HG03991	ieu-b-4815	SAS	1240.57
HG03995	HG03995	ieu-b-4815	SAS	-21.2889
HG03998	HG03998	ieu-b-4815	SAS	862.541
HG03999	HG03999	ieu-b-4815	SAS	959.221
HG04001	HG04001	ieu-b-4815	SAS	1882.91
HG04002	HG04002	ieu-b-4815	SAS	1253.23
HG04003	HG04003	ieu-b-4815	SAS	1122.83
HG04006	HG04006	ieu-b-4815	SAS	1187.21
HG04014	HG04014	ieu-b-4815	SAS	243.989
HG04015	HG04015	ieu-b-4815	SAS	15.2584
HG04017	HG04017	ieu-b-4815	SAS	1056.93
HG04018	HG04018	ieu-b-4815	SAS	-842.144
HG04019	HG04019	ieu-b-4815	SAS	446.722
HG04020	HG04020	ieu-b-4815	SAS	120.235
HG04022	HG04022	ieu-b-4815	SAS	1132.36
HG04023	HG04023	ieu-b-4815	SAS	750.808
HG04025	HG04025	ieu-b-4815	SAS	262.748
HG04026	HG04026	ieu-b-4815	SAS	58.043
HG04029	HG04029	ieu-b-4815	SAS	482.819
HG04033	HG04033	ieu-b-4815	SAS	687.575
HG04035	HG04035	ieu-b-4815	SAS	722.592
HG04038	HG04038	ieu-b-4815	SAS	1544.37
HG04039	HG04039	ieu-b-4815	SAS	1164.77
HG04042	HG04042	ieu-b-4815	SAS	1017.89
HG04047	HG04047	ieu-b-4815	SAS	1646
HG04054	HG04054	ieu-b-4815	SAS	-61.1509
HG04056	HG04056	ieu-b-4815	SAS	110.325
HG04059	HG04059	ieu-b-4815	SAS	817.575
HG04060	HG04060	ieu-b-4815	SAS	203.631
HG04061	HG04061	ieu-b-4815	SAS	134.708
HG04062	HG04062	ieu-b-4815	SAS	672.746
HG04063	HG04063	ieu-b-4815	SAS	1534.32
HG04070	HG04070	ieu-b-4815	SAS	-5.82343
HG04075	HG04075	ieu-b-4815	SAS	1235.53
HG04076	HG04076	ieu-b-4815	SAS	-574.715
HG04080	HG04080	ieu-b-4815	SAS	-297.795
HG04090	HG04090	ieu-b-4815	SAS	-166.172
HG04093	HG04093	ieu-b-4815	SAS	1728.53
HG04094	HG04094	ieu-b-4815	SAS	1027.61
HG04096	HG04096	ieu-b-4815	SAS	371.574
HG04098	HG04098	ieu-b-4815	SAS	678.926
HG04099	HG04099	ieu-b-4815	SAS	1565.74
HG04100	HG04100	ieu-b-4815	SAS	22.2126
HG04106	HG04106	ieu-b-4815	SAS	75.5619
HG04107	HG04107	ieu-b-4815	SAS	336.062
HG04118	HG04118	ieu-b-4815	SAS	493.675
HG04131	HG04131	ieu-b-4815	SAS	975.233
HG04134	HG04134	ieu-b-4815	SAS	-557.819
HG04140	HG04140	ieu-b-4815	SAS	1097.66
HG04141	HG04141	ieu-b-4815	SAS	527.949
HG04144	HG04144	ieu-b-4815	SAS	437.424
HG04146	HG04146	ieu-b-4815	SAS	969.758
HG04152	HG04152	ieu-b-4815	SAS	829.342
HG04153	HG04153	ieu-b-4815	SAS	36.8093
HG04155	HG04155	ieu-b-4815	SAS	236.73
HG04156	HG04156	ieu-b-4815	SAS	1324.37
HG04158	HG04158	ieu-b-4815	SAS	668.572
HG04159	HG04159	ieu-b-4815	SAS	673.74
HG04161	HG04161	ieu-b-4815	SAS	221.905
HG04162	HG04162	ieu-b-4815	SAS	-125.966
HG04164	HG04164	ieu-b-4815	SAS	262.541
HG04171	HG04171	ieu-b-4815	SAS	1490.5
HG04173	HG04173	ieu-b-4815	SAS	798.772
HG04176	HG04176	ieu-b-4815	SAS	-24.1727
HG04177	HG04177	ieu-b-4815	SAS	830.208
HG04180	HG04180	ieu-b-4815	SAS	293.552
HG04182	HG04182	ieu-b-4815	SAS	-251.295
HG04183	HG04183	ieu-b-4815	SAS	788.694
HG04185	HG04185	ieu-b-4815	SAS	336.969
HG04186	HG04186	ieu-b-4815	SAS	773.516
HG04188	HG04188	ieu-b-4815	SAS	1227.03
HG04189	HG04189	ieu-b-4815	SAS	-27.624
HG04194	HG04194	ieu-b-4815	SAS	646.859
HG04195	HG04195	ieu-b-4815	SAS	1329.31
HG04198	HG04198	ieu-b-4815	SAS	390.936
HG04200	HG04200	ieu-b-4815	SAS	197.174
HG04202	HG04202	ieu-b-4815	SAS	1243.93
HG04206	HG04206	ieu-b-4815	SAS	1712.99
HG04209	HG04209	ieu-b-4815	SAS	590.354
HG04210	HG04210	ieu-b-4815	SAS	705.752
HG04211	HG04211	ieu-b-4815	SAS	389.262
HG04212	HG04212	ieu-b-4815	SAS	823.808
HG04214	HG04214	ieu-b-4815	SAS	684.132
HG04216	HG04216	ieu-b-4815	SAS	101.089
HG04219	HG04219	ieu-b-4815	SAS	351.175
HG04222	HG04222	ieu-b-4815	SAS	1012.65
HG04225	HG04225	ieu-b-4815	SAS	467.26
HG04227	HG04227	ieu-b-4815	SAS	895.414
HG04229	HG04229	ieu-b-4815	SAS	-454.504
HG04235	HG04235	ieu-b-4815	SAS	234.465
HG04238	HG04238	ieu-b-4815	SAS	744.002
HG04239	HG04239	ieu-b-4815	SAS	276.055
NA20845	NA20845	ieu-b-4815	SAS	19.4391
NA20846	NA20846	ieu-b-4815	SAS	52.1029
NA20847	NA20847	ieu-b-4815	SAS	1293.14
NA20849	NA20849	ieu-b-4815	SAS	-74.7674
NA20850	NA20850	ieu-b-4815	SAS	601.007
NA20851	NA20851	ieu-b-4815	SAS	342.324
NA20852	NA20852	ieu-b-4815	SAS	287.485
NA20853	NA20853	ieu-b-4815	SAS	1412.32
NA20854	NA20854	ieu-b-4815	SAS	271.375
NA20856	NA20856	ieu-b-4815	SAS	1058.73
NA20858	NA20858	ieu-b-4815	SAS	652.037
NA20859	NA20859	ieu-b-4815	SAS	941.697
NA20861	NA20861	ieu-b-4815	SAS	388.243
NA20862	NA20862	ieu-b-4815	SAS	-224.373
NA20863	NA20863	ieu-b-4815	SAS	735.923
NA20864	NA20864	ieu-b-4815	SAS	174.48
NA20866	NA20866	ieu-b-4815	SAS	-429.587
NA20867	NA20867	ieu-b-4815	SAS	130.117
NA20868	NA20868	ieu-b-4815	SAS	1010.93
NA20869	NA20869	ieu-b-4815	SAS	-481.458
NA20870	NA20870	ieu-b-4815	SAS	425.473
NA20872	NA20872	ieu-b-4815	SAS	-828.149
NA20874	NA20874	ieu-b-4815	SAS	547.995
NA20875	NA20875	ieu-b-4815	SAS	196.441
NA20876	NA20876	ieu-b-4815	SAS	-56.3932
NA20877	NA20877	ieu-b-4815	SAS	1053.8
NA20878	NA20878	ieu-b-4815	SAS	1083.3
NA20881	NA20881	ieu-b-4815	SAS	886.209
NA20882	NA20882	ieu-b-4815	SAS	416.779
NA20884	NA20884	ieu-b-4815	SAS	869.684
NA20885	NA20885	ieu-b-4815	SAS	786.48
NA20886	NA20886	ieu-b-4815	SAS	867.203
NA20887	NA20887	ieu-b-4815	SAS	1140.71
NA20888	NA20888	ieu-b-4815	SAS	1040.51
NA20889	NA20889	ieu-b-4815	SAS	320.834
NA20890	NA20890	ieu-b-4815	SAS	153.396
NA20891	NA20891	ieu-b-4815	SAS	-305.346
NA20892	NA20892	ieu-b-4815	SAS	1073.47
NA20894	NA20894	ieu-b-4815	SAS	1170.85
NA20895	NA20895	ieu-b-4815	SAS	-174.03
NA20896	NA20896	ieu-b-4815	SAS	1083.13
NA20897	NA20897	ieu-b-4815	SAS	568.443
NA20899	NA20899	ieu-b-4815	SAS	155.942
NA20900	NA20900	ieu-b-4815	SAS	-76.6797
NA20901	NA20901	ieu-b-4815	SAS	-358.167
NA20902	NA20902	ieu-b-4815	SAS	512.136
NA20903	NA20903	ieu-b-4815	SAS	60.8906
NA20904	NA20904	ieu-b-4815	SAS	160.408
NA20905	NA20905	ieu-b-4815	SAS	799.124
NA20906	NA20906	ieu-b-4815	SAS	648.663
NA20908	NA20908	ieu-b-4815	SAS	-686.612
NA20910	NA20910	ieu-b-4815	SAS	-91.2015
NA20911	NA20911	ieu-b-4815	SAS	1046.27
NA21086	NA21086	ieu-b-4815	SAS	283.735
NA21087	NA21087	ieu-b-4815	SAS	816.244
NA21088	NA21088	ieu-b-4815	SAS	262.051
NA21089	NA21089	ieu-b-4815	SAS	883.3
NA21090	NA21090	ieu-b-4815	SAS	273.974
NA21091	NA21091	ieu-b-4815	SAS	269.539
NA21092	NA21092	ieu-b-4815	SAS	981.944
NA21093	NA21093	ieu-b-4815	SAS	506.432
NA21094	NA21094	ieu-b-4815	SAS	552.52
NA21095	NA21095	ieu-b-4815	SAS	1317.26
NA21097	NA21097	ieu-b-4815	SAS	127.185
NA21098	NA21098	ieu-b-4815	SAS	193.813
NA21099	NA21099	ieu-b-4815	SAS	1152.97
NA21100	NA21100	ieu-b-4815	SAS	161.158
NA21101	NA21101	ieu-b-4815	SAS	626.592
NA21102	NA21102	ieu-b-4815	SAS	474.235
NA21103	NA21103	ieu-b-4815	SAS	861.691
NA21104	NA21104	ieu-b-4815	SAS	722.534
NA21105	NA21105	ieu-b-4815	SAS	953.42
NA21106	NA21106	ieu-b-4815	SAS	59.2241
NA21107	NA21107	ieu-b-4815	SAS	47.9098
NA21108	NA21108	ieu-b-4815	SAS	342.099
NA21109	NA21109	ieu-b-4815	SAS	192.193
NA21110	NA21110	ieu-b-4815	SAS	258.247
NA21111	NA21111	ieu-b-4815	SAS	520.365
NA21112	NA21112	ieu-b-4815	SAS	1062.23
NA21113	NA21113	ieu-b-4815	SAS	362.436
NA21114	NA21114	ieu-b-4815	SAS	960.765
NA21115	NA21115	ieu-b-4815	SAS	1001.16
NA21116	NA21116	ieu-b-4815	SAS	-108.905
NA21117	NA21117	ieu-b-4815	SAS	631.244
NA21118	NA21118	ieu-b-4815	SAS	614.308
NA21119	NA21119	ieu-b-4815	SAS	557.891
NA21120	NA21120	ieu-b-4815	SAS	207.331
NA21122	NA21122	ieu-b-4815	SAS	534.782
NA21123	NA21123	ieu-b-4815	SAS	581.099
NA21124	NA21124	ieu-b-4815	SAS	412.351
NA21125	NA21125	ieu-b-4815	SAS	632.219
NA21126	NA21126	ieu-b-4815	SAS	1119.98
NA21127	NA21127	ieu-b-4815	SAS	813.024
NA21128	NA21128	ieu-b-4815	SAS	434.988
NA21129	NA21129	ieu-b-4815	SAS	765.11
NA21130	NA21130	ieu-b-4815	SAS	602.294
NA21133	NA21133	ieu-b-4815	SAS	709.618
NA21135	NA21135	ieu-b-4815	SAS	286.805
NA21137	NA21137	ieu-b-4815	SAS	1535.16
NA21141	NA21141	ieu-b-4815	SAS	1009.79
NA21142	NA21142	ieu-b-4815	SAS	1658.29
NA21143	NA21143	ieu-b-4815	SAS	131.522
NA21144	NA21144	ieu-b-4815	SAS	741.299
HG01879	HG01879	ieu-b-4817	AFR	-543.659
HG01880	HG01880	ieu-b-4817	AFR	-58.3001
HG01882	HG01882	ieu-b-4817	AFR	-3995.39
HG01883	HG01883	ieu-b-4817	AFR	-2028.44
HG01885	HG01885	ieu-b-4817	AFR	-219.474
HG01886	HG01886	ieu-b-4817	AFR	-1687.41
HG01889	HG01889	ieu-b-4817	AFR	992.965
HG01890	HG01890	ieu-b-4817	AFR	-5277.38
HG01894	HG01894	ieu-b-4817	AFR	60.9766
HG01896	HG01896	ieu-b-4817	AFR	-77.8164
HG01912	HG01912	ieu-b-4817	AFR	-927.801
HG01914	HG01914	ieu-b-4817	AFR	403.781
HG01915	HG01915	ieu-b-4817	AFR	1437.92
HG01956	HG01956	ieu-b-4817	AFR	-1346.29
HG01958	HG01958	ieu-b-4817	AFR	-4217.83
HG01985	HG01985	ieu-b-4817	AFR	-1380.58
HG01986	HG01986	ieu-b-4817	AFR	-322.926
HG01988	HG01988	ieu-b-4817	AFR	-3073
HG01989	HG01989	ieu-b-4817	AFR	-1713.07
HG01990	HG01990	ieu-b-4817	AFR	-366.343
HG02009	HG02009	ieu-b-4817	AFR	-1407.95
HG02010	HG02010	ieu-b-4817	AFR	-474.468
HG02012	HG02012	ieu-b-4817	AFR	-3313.18
HG02013	HG02013	ieu-b-4817	AFR	-311.555
HG02014	HG02014	ieu-b-4817	AFR	1598.75
HG02051	HG02051	ieu-b-4817	AFR	-1323.17
HG02052	HG02052	ieu-b-4817	AFR	-4092.8
HG02053	HG02053	ieu-b-4817	AFR	697.689
HG02054	HG02054	ieu-b-4817	AFR	-1358.07
HG02095	HG02095	ieu-b-4817	AFR	-1212.46
HG02107	HG02107	ieu-b-4817	AFR	-644.051
HG02108	HG02108	ieu-b-4817	AFR	-1193.54
HG02111	HG02111	ieu-b-4817	AFR	-187.69
HG02143	HG02143	ieu-b-4817	AFR	-3229.65
HG02144	HG02144	ieu-b-4817	AFR	-2165.42
HG02255	HG02255	ieu-b-4817	AFR	374.55
HG02256	HG02256	ieu-b-4817	AFR	408.748
HG02281	HG02281	ieu-b-4817	AFR	-1796.25
HG02282	HG02282	ieu-b-4817	AFR	-4454.4
HG02283	HG02283	ieu-b-4817	AFR	-2001.66
HG02284	HG02284	ieu-b-4817	AFR	-1587.62
HG02307	HG02307	ieu-b-4817	AFR	1804.77
HG02308	HG02308	ieu-b-4817	AFR	448.985
HG02309	HG02309	ieu-b-4817	AFR	-3377.85
HG02314	HG02314	ieu-b-4817	AFR	-1223.06
HG02315	HG02315	ieu-b-4817	AFR	-5269.49
HG02317	HG02317	ieu-b-4817	AFR	-1074.4
HG02318	HG02318	ieu-b-4817	AFR	322.522
HG02322	HG02322	ieu-b-4817	AFR	2427.41
HG02323	HG02323	ieu-b-4817	AFR	-1772.6
HG02325	HG02325	ieu-b-4817	AFR	-2440
HG02330	HG02330	ieu-b-4817	AFR	-526.838
HG02332	HG02332	ieu-b-4817	AFR	1927.37
HG02334	HG02334	ieu-b-4817	AFR	2264.8
HG02337	HG02337	ieu-b-4817	AFR	-235.438
HG02339	HG02339	ieu-b-4817	AFR	-1661.8
HG02343	HG02343	ieu-b-4817	AFR	-1703.59
HG02419	HG02419	ieu-b-4817	AFR	-383.327
HG02420	HG02420	ieu-b-4817	AFR	3527.71
HG02427	HG02427	ieu-b-4817	AFR	-976.271
HG02429	HG02429	ieu-b-4817	AFR	1549.59
HG02433	HG02433	ieu-b-4817	AFR	-387.802
HG02439	HG02439	ieu-b-4817	AFR	-2330.56
HG02442	HG02442	ieu-b-4817	AFR	1192.5
HG02445	HG02445	ieu-b-4817	AFR	-4278.83
HG02449	HG02449	ieu-b-4817	AFR	-3031.17
HG02450	HG02450	ieu-b-4817	AFR	-2978.86
HG02455	HG02455	ieu-b-4817	AFR	-809.791
HG02461	HG02461	ieu-b-4817	AFR	-1119.77
HG02462	HG02462	ieu-b-4817	AFR	-162.758
HG02464	HG02464	ieu-b-4817	AFR	2162.9
HG02465	HG02465	ieu-b-4817	AFR	-401.899
HG02470	HG02470	ieu-b-4817	AFR	312.398
HG02471	HG02471	ieu-b-4817	AFR	-1452.65
HG02476	HG02476	ieu-b-4817	AFR	-2975.77
HG02477	HG02477	ieu-b-4817	AFR	-1465.24
HG02479	HG02479	ieu-b-4817	AFR	-170.537
HG02481	HG02481	ieu-b-4817	AFR	-2612.66
HG02484	HG02484	ieu-b-4817	AFR	1671.3
HG02485	HG02485	ieu-b-4817	AFR	-1766.51
HG02489	HG02489	ieu-b-4817	AFR	-655.867
HG02496	HG02496	ieu-b-4817	AFR	-139.617
HG02497	HG02497	ieu-b-4817	AFR	567.216
HG02501	HG02501	ieu-b-4817	AFR	-4319.28
HG02502	HG02502	ieu-b-4817	AFR	-1267.4
HG02505	HG02505	ieu-b-4817	AFR	-2081.01
HG02508	HG02508	ieu-b-4817	AFR	-1319.85
HG02511	HG02511	ieu-b-4817	AFR	2818.82
HG02536	HG02536	ieu-b-4817	AFR	199.62
HG02537	HG02537	ieu-b-4817	AFR	-307.149
HG02541	HG02541	ieu-b-4817	AFR	394.213
HG02545	HG02545	ieu-b-4817	AFR	-986.846
HG02546	HG02546	ieu-b-4817	AFR	710.432
HG02549	HG02549	ieu-b-4817	AFR	-395.991
HG02554	HG02554	ieu-b-4817	AFR	-2569.2
HG02555	HG02555	ieu-b-4817	AFR	120.94
HG02557	HG02557	ieu-b-4817	AFR	1412.03
HG02558	HG02558	ieu-b-4817	AFR	1493.38
HG02561	HG02561	ieu-b-4817	AFR	-2405.61
HG02562	HG02562	ieu-b-4817	AFR	-2577.13
HG02568	HG02568	ieu-b-4817	AFR	-1149.17
HG02570	HG02570	ieu-b-4817	AFR	-1081.18
HG02571	HG02571	ieu-b-4817	AFR	-998.303
HG02573	HG02573	ieu-b-4817	AFR	-506.906
HG02574	HG02574	ieu-b-4817	AFR	1178.9
HG02577	HG02577	ieu-b-4817	AFR	-2397.06
HG02580	HG02580	ieu-b-4817	AFR	-22.0978
HG02582	HG02582	ieu-b-4817	AFR	2240.78
HG02583	HG02583	ieu-b-4817	AFR	-3474.79
HG02585	HG02585	ieu-b-4817	AFR	342.034
HG02586	HG02586	ieu-b-4817	AFR	-986.838
HG02588	HG02588	ieu-b-4817	AFR	-860.808
HG02589	HG02589	ieu-b-4817	AFR	-2902.39
HG02594	HG02594	ieu-b-4817	AFR	229.851
HG02595	HG02595	ieu-b-4817	AFR	-47.3129
HG02610	HG02610	ieu-b-4817	AFR	-2895.87
HG02611	HG02611	ieu-b-4817	AFR	575.105
HG02613	HG02613	ieu-b-4817	AFR	-1899.08
HG02614	HG02614	ieu-b-4817	AFR	-4178.49
HG02620	HG02620	ieu-b-4817	AFR	1741.45
HG02621	HG02621	ieu-b-4817	AFR	-341.166
HG02623	HG02623	ieu-b-4817	AFR	-347.141
HG02624	HG02624	ieu-b-4817	AFR	-1314.75
HG02628	HG02628	ieu-b-4817	AFR	-593.999
HG02629	HG02629	ieu-b-4817	AFR	-154.476
HG02634	HG02634	ieu-b-4817	AFR	-2384.61
HG02635	HG02635	ieu-b-4817	AFR	-1148.9
HG02642	HG02642	ieu-b-4817	AFR	-1623.71
HG02643	HG02643	ieu-b-4817	AFR	-1053.59
HG02645	HG02645	ieu-b-4817	AFR	-1483.39
HG02646	HG02646	ieu-b-4817	AFR	301.315
HG02666	HG02666	ieu-b-4817	AFR	-2506.88
HG02667	HG02667	ieu-b-4817	AFR	-1020.06
HG02675	HG02675	ieu-b-4817	AFR	467.621
HG02676	HG02676	ieu-b-4817	AFR	-2382.98
HG02678	HG02678	ieu-b-4817	AFR	116.776
HG02679	HG02679	ieu-b-4817	AFR	2493.72
HG02702	HG02702	ieu-b-4817	AFR	733.913
HG02703	HG02703	ieu-b-4817	AFR	-2583.64
HG02715	HG02715	ieu-b-4817	AFR	-407.691
HG02716	HG02716	ieu-b-4817	AFR	-161.892
HG02721	HG02721	ieu-b-4817	AFR	-1934.6
HG02722	HG02722	ieu-b-4817	AFR	-2088.38
HG02756	HG02756	ieu-b-4817	AFR	-222.467
HG02757	HG02757	ieu-b-4817	AFR	-231.307
HG02759	HG02759	ieu-b-4817	AFR	-1098.42
HG02760	HG02760	ieu-b-4817	AFR	-314.24
HG02763	HG02763	ieu-b-4817	AFR	635.737
HG02768	HG02768	ieu-b-4817	AFR	-3638.15
HG02769	HG02769	ieu-b-4817	AFR	-1293.55
HG02771	HG02771	ieu-b-4817	AFR	-2896.59
HG02772	HG02772	ieu-b-4817	AFR	-1000.05
HG02798	HG02798	ieu-b-4817	AFR	1084.76
HG02799	HG02799	ieu-b-4817	AFR	-680.684
HG02804	HG02804	ieu-b-4817	AFR	-952.811
HG02805	HG02805	ieu-b-4817	AFR	-554.101
HG02807	HG02807	ieu-b-4817	AFR	-163.932
HG02808	HG02808	ieu-b-4817	AFR	-4343.88
HG02810	HG02810	ieu-b-4817	AFR	634.122
HG02811	HG02811	ieu-b-4817	AFR	-368.047
HG02813	HG02813	ieu-b-4817	AFR	-371.551
HG02814	HG02814	ieu-b-4817	AFR	-952.333
HG02816	HG02816	ieu-b-4817	AFR	-3156.81
HG02817	HG02817	ieu-b-4817	AFR	-1519.7
HG02819	HG02819	ieu-b-4817	AFR	-375.309
HG02820	HG02820	ieu-b-4817	AFR	-2781.33
HG02836	HG02836	ieu-b-4817	AFR	-3161.36
HG02837	HG02837	ieu-b-4817	AFR	2306.03
HG02839	HG02839	ieu-b-4817	AFR	1144.93
HG02840	HG02840	ieu-b-4817	AFR	1478.73
HG02851	HG02851	ieu-b-4817	AFR	-2165.87
HG02852	HG02852	ieu-b-4817	AFR	-3283.97
HG02854	HG02854	ieu-b-4817	AFR	-2204.85
HG02855	HG02855	ieu-b-4817	AFR	-3810.56
HG02860	HG02860	ieu-b-4817	AFR	-3149.94
HG02861	HG02861	ieu-b-4817	AFR	-4711.04
HG02870	HG02870	ieu-b-4817	AFR	-2631.45
HG02878	HG02878	ieu-b-4817	AFR	1684.03
HG02879	HG02879	ieu-b-4817	AFR	-2088.04
HG02881	HG02881	ieu-b-4817	AFR	-1877.9
HG02882	HG02882	ieu-b-4817	AFR	-5485.24
HG02884	HG02884	ieu-b-4817	AFR	-3767.48
HG02885	HG02885	ieu-b-4817	AFR	-3248.98
HG02887	HG02887	ieu-b-4817	AFR	-2214.52
HG02888	HG02888	ieu-b-4817	AFR	-1860.06
HG02890	HG02890	ieu-b-4817	AFR	-470.852
HG02891	HG02891	ieu-b-4817	AFR	-4584.52
HG02895	HG02895	ieu-b-4817	AFR	-1079.09
HG02896	HG02896	ieu-b-4817	AFR	-3003.09
HG02922	HG02922	ieu-b-4817	AFR	952.034
HG02923	HG02923	ieu-b-4817	AFR	-123.526
HG02938	HG02938	ieu-b-4817	AFR	-72.1891
HG02941	HG02941	ieu-b-4817	AFR	-829.556
HG02943	HG02943	ieu-b-4817	AFR	-2284.14
HG02944	HG02944	ieu-b-4817	AFR	-3844.98
HG02946	HG02946	ieu-b-4817	AFR	-899.316
HG02947	HG02947	ieu-b-4817	AFR	-1151.41
HG02952	HG02952	ieu-b-4817	AFR	-839.394
HG02953	HG02953	ieu-b-4817	AFR	-593.965
HG02968	HG02968	ieu-b-4817	AFR	-3067.22
HG02970	HG02970	ieu-b-4817	AFR	-4404.92
HG02971	HG02971	ieu-b-4817	AFR	-960.709
HG02973	HG02973	ieu-b-4817	AFR	-1948.46
HG02974	HG02974	ieu-b-4817	AFR	1105.98
HG02976	HG02976	ieu-b-4817	AFR	-2590.82
HG02977	HG02977	ieu-b-4817	AFR	504.364
HG02979	HG02979	ieu-b-4817	AFR	-1443.37
HG02981	HG02981	ieu-b-4817	AFR	-2256.67
HG02982	HG02982	ieu-b-4817	AFR	-3380.56
HG02983	HG02983	ieu-b-4817	AFR	452.908
HG03024	HG03024	ieu-b-4817	AFR	1080.7
HG03025	HG03025	ieu-b-4817	AFR	-622.691
HG03027	HG03027	ieu-b-4817	AFR	-789.887
HG03028	HG03028	ieu-b-4817	AFR	-1387.51
HG03039	HG03039	ieu-b-4817	AFR	287.381
HG03040	HG03040	ieu-b-4817	AFR	-1439.16
HG03045	HG03045	ieu-b-4817	AFR	-946.853
