FID	IID	Trait	Pop	PGS		
HG02536	HG02536	ieu-b-4813	AFR	-1023.32	ACB	AFR
HG02537	HG02537	ieu-b-4813	AFR	797.272	ACB	AFR
HG02541	HG02541	ieu-b-4813	AFR	-583.547	ACB	AFR
HG02545	HG02545	ieu-b-4813	AFR	1329.86	ACB	AFR
HG02546	HG02546	ieu-b-4813	AFR	-1095.21	ACB	AFR
HG02549	HG02549	ieu-b-4813	AFR	-414.917	ACB	AFR
HG02554	HG02554	ieu-b-4813	AFR	-432.571	ACB	AFR
HG02555	HG02555	ieu-b-4813	AFR	-596.217	ACB	AFR
HG02557	HG02557	ieu-b-4813	AFR	-609.291	ACB	AFR
HG02558	HG02558	ieu-b-4813	AFR	-1206.64	ACB	AFR
HG02561	HG02561	ieu-b-4813	AFR	-214.113	GWD	AFR
HG02562	HG02562	ieu-b-4813	AFR	-539.672	GWD	AFR
HG02568	HG02568	ieu-b-4813	AFR	-1896.25	GWD	AFR
HG02570	HG02570	ieu-b-4813	AFR	-848.356	GWD	AFR
HG02571	HG02571	ieu-b-4813	AFR	-711.871	GWD	AFR
HG02573	HG02573	ieu-b-4813	AFR	-207.637	GWD	AFR
HG02574	HG02574	ieu-b-4813	AFR	-193.863	GWD	AFR
HG02577	HG02577	ieu-b-4813	AFR	-1331.23	ACB	AFR
HG02580	HG02580	ieu-b-4813	AFR	-499.85	ACB	AFR
HG02582	HG02582	ieu-b-4813	AFR	-478.171	GWD	AFR
HG02583	HG02583	ieu-b-4813	AFR	-672.486	GWD	AFR
HG02585	HG02585	ieu-b-4813	AFR	-9.73858	GWD	AFR
HG02586	HG02586	ieu-b-4813	AFR	-245.222	GWD	AFR
HG02588	HG02588	ieu-b-4813	AFR	263.125	GWD	AFR
HG02589	HG02589	ieu-b-4813	AFR	-319.653	GWD	AFR
HG02594	HG02594	ieu-b-4813	AFR	-697.057	GWD	AFR
HG02595	HG02595	ieu-b-4813	AFR	-485.314	GWD	AFR
HG02610	HG02610	ieu-b-4813	AFR	870.503	GWD	AFR
HG02611	HG02611	ieu-b-4813	AFR	-908.469	GWD	AFR
HG02613	HG02613	ieu-b-4813	AFR	213.854	GWD	AFR
HG02614	HG02614	ieu-b-4813	AFR	702.928	GWD	AFR
HG02620	HG02620	ieu-b-4813	AFR	-155.951	GWD	AFR
HG02621	HG02621	ieu-b-4813	AFR	175.775	GWD	AFR
HG02623	HG02623	ieu-b-4813	AFR	-40.9237	GWD	AFR
HG02624	HG02624	ieu-b-4813	AFR	-599.099	GWD	AFR
HG02628	HG02628	ieu-b-4813	AFR	-1770.14	GWD	AFR
HG02629	HG02629	ieu-b-4813	AFR	1006.35	GWD	AFR
HG02634	HG02634	ieu-b-4813	AFR	207.266	GWD	AFR
HG02635	HG02635	ieu-b-4813	AFR	-1086.41	GWD	AFR
HG02642	HG02642	ieu-b-4813	AFR	278.195	GWD	AFR
HG02643	HG02643	ieu-b-4813	AFR	78.3527	GWD	AFR
HG02645	HG02645	ieu-b-4813	AFR	-788.608	GWD	AFR
HG02646	HG02646	ieu-b-4813	AFR	-127.892	GWD	AFR
HG02666	HG02666	ieu-b-4813	AFR	-376.606	GWD	AFR
HG02667	HG02667	ieu-b-4813	AFR	-188.809	GWD	AFR
HG02675	HG02675	ieu-b-4813	AFR	-1749.86	GWD	AFR
HG02676	HG02676	ieu-b-4813	AFR	554.202	GWD	AFR
HG02678	HG02678	ieu-b-4813	AFR	-185.576	GWD	AFR
HG02679	HG02679	ieu-b-4813	AFR	-381.425	GWD	AFR
HG02702	HG02702	ieu-b-4813	AFR	-1013.18	GWD	AFR
HG02703	HG02703	ieu-b-4813	AFR	500.296	GWD	AFR
HG02715	HG02715	ieu-b-4813	AFR	-31.7974	GWD	AFR
HG02716	HG02716	ieu-b-4813	AFR	-598.548	GWD	AFR
HG02721	HG02721	ieu-b-4813	AFR	290.226	GWD	AFR
HG02722	HG02722	ieu-b-4813	AFR	21.6678	GWD	AFR
HG02756	HG02756	ieu-b-4813	AFR	-245.223	GWD	AFR
HG02757	HG02757	ieu-b-4813	AFR	-385.645	GWD	AFR
HG02759	HG02759	ieu-b-4813	AFR	393.1	GWD	AFR
HG02760	HG02760	ieu-b-4813	AFR	-649.745	GWD	AFR
HG02763	HG02763	ieu-b-4813	AFR	165.264	GWD	AFR
HG02768	HG02768	ieu-b-4813	AFR	277.767	GWD	AFR
HG02769	HG02769	ieu-b-4813	AFR	-463.671	GWD	AFR
HG02771	HG02771	ieu-b-4813	AFR	97.1648	GWD	AFR
HG02772	HG02772	ieu-b-4813	AFR	67.2873	GWD	AFR
HG02798	HG02798	ieu-b-4813	AFR	582.222	GWD	AFR
HG02799	HG02799	ieu-b-4813	AFR	103.26	GWD	AFR
HG02804	HG02804	ieu-b-4813	AFR	-739.529	GWD	AFR
HG02805	HG02805	ieu-b-4813	AFR	155.725	GWD	AFR
HG02807	HG02807	ieu-b-4813	AFR	-443.866	GWD	AFR
HG02808	HG02808	ieu-b-4813	AFR	-77.6446	GWD	AFR
HG02810	HG02810	ieu-b-4813	AFR	-39.0678	GWD	AFR
HG02811	HG02811	ieu-b-4813	AFR	-628.388	GWD	AFR
HG02813	HG02813	ieu-b-4813	AFR	-419.839	GWD	AFR
HG02814	HG02814	ieu-b-4813	AFR	-126.766	GWD	AFR
HG02816	HG02816	ieu-b-4813	AFR	57.1371	GWD	AFR
HG02817	HG02817	ieu-b-4813	AFR	510.014	GWD	AFR
HG02819	HG02819	ieu-b-4813	AFR	721.879	GWD	AFR
HG02820	HG02820	ieu-b-4813	AFR	-109.89	GWD	AFR
HG02836	HG02836	ieu-b-4813	AFR	-147.447	GWD	AFR
HG02837	HG02837	ieu-b-4813	AFR	1099.92	GWD	AFR
HG02839	HG02839	ieu-b-4813	AFR	-446.505	GWD	AFR
HG02840	HG02840	ieu-b-4813	AFR	46.8799	GWD	AFR
HG02851	HG02851	ieu-b-4813	AFR	-516.055	GWD	AFR
HG02852	HG02852	ieu-b-4813	AFR	58.0949	GWD	AFR
HG02854	HG02854	ieu-b-4813	AFR	-992.551	GWD	AFR
HG02855	HG02855	ieu-b-4813	AFR	311.836	GWD	AFR
HG02860	HG02860	ieu-b-4813	AFR	237.554	GWD	AFR
HG02861	HG02861	ieu-b-4813	AFR	-203.477	GWD	AFR
HG02870	HG02870	ieu-b-4813	AFR	186.65	GWD	AFR
HG02878	HG02878	ieu-b-4813	AFR	-59.9801	GWD	AFR
HG02879	HG02879	ieu-b-4813	AFR	197.02	GWD	AFR
HG02881	HG02881	ieu-b-4813	AFR	712.768	GWD	AFR
HG02882	HG02882	ieu-b-4813	AFR	-890.033	GWD	AFR
HG02884	HG02884	ieu-b-4813	AFR	-264.161	GWD	AFR
HG02885	HG02885	ieu-b-4813	AFR	514.725	GWD	AFR
HG02887	HG02887	ieu-b-4813	AFR	-763.894	GWD	AFR
HG02888	HG02888	ieu-b-4813	AFR	-666.274	GWD	AFR
HG02890	HG02890	ieu-b-4813	AFR	-197.027	GWD	AFR
HG02891	HG02891	ieu-b-4813	AFR	237.978	GWD	AFR
HG02895	HG02895	ieu-b-4813	AFR	1.97422	GWD	AFR
HG02896	HG02896	ieu-b-4813	AFR	-84.1728	GWD	AFR
HG02922	HG02922	ieu-b-4813	AFR	392.543	ESN	AFR
HG02923	HG02923	ieu-b-4813	AFR	601.909	ESN	AFR
HG02938	HG02938	ieu-b-4813	AFR	33.2731	ESN	AFR
HG02941	HG02941	ieu-b-4813	AFR	-492.445	ESN	AFR
