FID	IID	Trait	Pop	PGS		
NA21112	NA21112	ieu-b-4815	SAS	1062.23	GIH	SAS
NA21113	NA21113	ieu-b-4815	SAS	362.436	GIH	SAS
NA21114	NA21114	ieu-b-4815	SAS	960.765	GIH	SAS
NA21115	NA21115	ieu-b-4815	SAS	1001.16	GIH	SAS
NA21116	NA21116	ieu-b-4815	SAS	-108.905	GIH	SAS
NA21117	NA21117	ieu-b-4815	SAS	631.244	GIH	SAS
NA21118	NA21118	ieu-b-4815	SAS	614.308	GIH	SAS
NA21119	NA21119	ieu-b-4815	SAS	557.891	GIH	SAS
NA21120	NA21120	ieu-b-4815	SAS	207.331	GIH	SAS
NA21122	NA21122	ieu-b-4815	SAS	534.782	GIH	SAS
NA21123	NA21123	ieu-b-4815	SAS	581.099	GIH	SAS
NA21124	NA21124	ieu-b-4815	SAS	412.351	GIH	SAS
NA21125	NA21125	ieu-b-4815	SAS	632.219	GIH	SAS
NA21126	NA21126	ieu-b-4815	SAS	1119.98	GIH	SAS
NA21127	NA21127	ieu-b-4815	SAS	813.024	GIH	SAS
NA21128	NA21128	ieu-b-4815	SAS	434.988	GIH	SAS
NA21129	NA21129	ieu-b-4815	SAS	765.11	GIH	SAS
NA21130	NA21130	ieu-b-4815	SAS	602.294	GIH	SAS
NA21133	NA21133	ieu-b-4815	SAS	709.618	GIH	SAS
NA21135	NA21135	ieu-b-4815	SAS	286.805	GIH	SAS
NA21137	NA21137	ieu-b-4815	SAS	1535.16	GIH	SAS
NA21141	NA21141	ieu-b-4815	SAS	1009.79	GIH	SAS
NA21142	NA21142	ieu-b-4815	SAS	1658.29	GIH	SAS
NA21143	NA21143	ieu-b-4815	SAS	131.522	GIH	SAS
NA21144	NA21144	ieu-b-4815	SAS	741.299	GIH	SAS
HG01879	HG01879	ieu-b-4817	AFR	-543.659	ACB	AFR
HG01880	HG01880	ieu-b-4817	AFR	-58.3001	ACB	AFR
HG01882	HG01882	ieu-b-4817	AFR	-3995.39	ACB	AFR
HG01883	HG01883	ieu-b-4817	AFR	-2028.44	ACB	AFR
HG01885	HG01885	ieu-b-4817	AFR	-219.474	ACB	AFR
HG01886	HG01886	ieu-b-4817	AFR	-1687.41	ACB	AFR
HG01889	HG01889	ieu-b-4817	AFR	992.965	ACB	AFR
HG01890	HG01890	ieu-b-4817	AFR	-5277.38	ACB	AFR
HG01894	HG01894	ieu-b-4817	AFR	60.9766	ACB	AFR
HG01896	HG01896	ieu-b-4817	AFR	-77.8164	ACB	AFR
HG01912	HG01912	ieu-b-4817	AFR	-927.801	ACB	AFR
HG01914	HG01914	ieu-b-4817	AFR	403.781	ACB	AFR
HG01915	HG01915	ieu-b-4817	AFR	1437.92	ACB	AFR
HG01956	HG01956	ieu-b-4817	AFR	-1346.29	ACB	AFR
HG01958	HG01958	ieu-b-4817	AFR	-4217.83	ACB	AFR
HG01985	HG01985	ieu-b-4817	AFR	-1380.58	ACB	AFR
HG01986	HG01986	ieu-b-4817	AFR	-322.926	ACB	AFR
HG01988	HG01988	ieu-b-4817	AFR	-3073	ACB	AFR
HG01989	HG01989	ieu-b-4817	AFR	-1713.07	ACB	AFR
HG01990	HG01990	ieu-b-4817	AFR	-366.343	ACB	AFR
HG02009	HG02009	ieu-b-4817	AFR	-1407.95	ACB	AFR
HG02010	HG02010	ieu-b-4817	AFR	-474.468	ACB	AFR
HG02012	HG02012	ieu-b-4817	AFR	-3313.18	ACB	AFR
HG02013	HG02013	ieu-b-4817	AFR	-311.555	ACB	AFR
HG02014	HG02014	ieu-b-4817	AFR	1598.75	ACB	AFR
HG02051	HG02051	ieu-b-4817	AFR	-1323.17	ACB	AFR
HG02052	HG02052	ieu-b-4817	AFR	-4092.8	ACB	AFR
HG02053	HG02053	ieu-b-4817	AFR	697.689	ACB	AFR
HG02054	HG02054	ieu-b-4817	AFR	-1358.07	ACB	AFR
HG02095	HG02095	ieu-b-4817	AFR	-1212.46	ACB	AFR
HG02107	HG02107	ieu-b-4817	AFR	-644.051	ACB	AFR
HG02108	HG02108	ieu-b-4817	AFR	-1193.54	ACB	AFR
HG02111	HG02111	ieu-b-4817	AFR	-187.69	ACB	AFR
HG02143	HG02143	ieu-b-4817	AFR	-3229.65	ACB	AFR
HG02144	HG02144	ieu-b-4817	AFR	-2165.42	ACB	AFR
HG02255	HG02255	ieu-b-4817	AFR	374.55	ACB	AFR
HG02256	HG02256	ieu-b-4817	AFR	408.748	ACB	AFR
HG02281	HG02281	ieu-b-4817	AFR	-1796.25	ACB	AFR
HG02282	HG02282	ieu-b-4817	AFR	-4454.4	ACB	AFR
HG02283	HG02283	ieu-b-4817	AFR	-2001.66	ACB	AFR
HG02284	HG02284	ieu-b-4817	AFR	-1587.62	ACB	AFR
HG02307	HG02307	ieu-b-4817	AFR	1804.77	ACB	AFR
HG02308	HG02308	ieu-b-4817	AFR	448.985	ACB	AFR
HG02309	HG02309	ieu-b-4817	AFR	-3377.85	ACB	AFR
HG02314	HG02314	ieu-b-4817	AFR	-1223.06	ACB	AFR
HG02315	HG02315	ieu-b-4817	AFR	-5269.49	ACB	AFR
HG02317	HG02317	ieu-b-4817	AFR	-1074.4	ACB	AFR
HG02318	HG02318	ieu-b-4817	AFR	322.522	ACB	AFR
HG02322	HG02322	ieu-b-4817	AFR	2427.41	ACB	AFR
HG02323	HG02323	ieu-b-4817	AFR	-1772.6	ACB	AFR
HG02325	HG02325	ieu-b-4817	AFR	-2440	ACB	AFR
HG02330	HG02330	ieu-b-4817	AFR	-526.838	ACB	AFR
HG02332	HG02332	ieu-b-4817	AFR	1927.37	ACB	AFR
HG02334	HG02334	ieu-b-4817	AFR	2264.8	ACB	AFR
HG02337	HG02337	ieu-b-4817	AFR	-235.438	ACB	AFR
HG02339	HG02339	ieu-b-4817	AFR	-1661.8	ACB	AFR
HG02343	HG02343	ieu-b-4817	AFR	-1703.59	ACB	AFR
HG02419	HG02419	ieu-b-4817	AFR	-383.327	ACB	AFR
HG02420	HG02420	ieu-b-4817	AFR	3527.71	ACB	AFR
HG02427	HG02427	ieu-b-4817	AFR	-976.271	ACB	AFR
HG02429	HG02429	ieu-b-4817	AFR	1549.59	ACB	AFR
HG02433	HG02433	ieu-b-4817	AFR	-387.802	ACB	AFR
HG02439	HG02439	ieu-b-4817	AFR	-2330.56	ACB	AFR
HG02442	HG02442	ieu-b-4817	AFR	1192.5	ACB	AFR
HG02445	HG02445	ieu-b-4817	AFR	-4278.83	ACB	AFR
HG02449	HG02449	ieu-b-4817	AFR	-3031.17	ACB	AFR
HG02450	HG02450	ieu-b-4817	AFR	-2978.86	ACB	AFR
HG02455	HG02455	ieu-b-4817	AFR	-809.791	ACB	AFR
HG02461	HG02461	ieu-b-4817	AFR	-1119.77	GWD	AFR
HG02462	HG02462	ieu-b-4817	AFR	-162.758	GWD	AFR
HG02464	HG02464	ieu-b-4817	AFR	2162.9	GWD	AFR
HG02465	HG02465	ieu-b-4817	AFR	-401.899	GWD	AFR
HG02470	HG02470	ieu-b-4817	AFR	312.398	ACB	AFR
HG02471	HG02471	ieu-b-4817	AFR	-1452.65	ACB	AFR
HG02476	HG02476	ieu-b-4817	AFR	-2975.77	ACB	AFR
HG02477	HG02477	ieu-b-4817	AFR	-1465.24	ACB	AFR
HG02479	HG02479	ieu-b-4817	AFR	-170.537	ACB	AFR
HG02481	HG02481	ieu-b-4817	AFR	-2612.66	ACB	AFR
HG02484	HG02484	ieu-b-4817	AFR	1671.3	ACB	AFR
HG02485	HG02485	ieu-b-4817	AFR	-1766.51	ACB	AFR
HG02489	HG02489	ieu-b-4817	AFR	-655.867	ACB	AFR
HG02496	HG02496	ieu-b-4817	AFR	-139.617	ACB	AFR
HG02497	HG02497	ieu-b-4817	AFR	567.216	ACB	AFR
HG02501	HG02501	ieu-b-4817	AFR	-4319.28	ACB	AFR
HG02502	HG02502	ieu-b-4817	AFR	-1267.4	ACB	AFR
HG02505	HG02505	ieu-b-4817	AFR	-2081.01	ACB	AFR
HG02508	HG02508	ieu-b-4817	AFR	-1319.85	ACB	AFR
HG02511	HG02511	ieu-b-4817	AFR	2818.82	ACB	AFR
HG02536	HG02536	ieu-b-4817	AFR	199.62	ACB	AFR
HG02537	HG02537	ieu-b-4817	AFR	-307.149	ACB	AFR
HG02541	HG02541	ieu-b-4817	AFR	394.213	ACB	AFR
HG02545	HG02545	ieu-b-4817	AFR	-986.846	ACB	AFR
HG02546	HG02546	ieu-b-4817	AFR	710.432	ACB	AFR
HG02549	HG02549	ieu-b-4817	AFR	-395.991	ACB	AFR
HG02554	HG02554	ieu-b-4817	AFR	-2569.2	ACB	AFR
HG02555	HG02555	ieu-b-4817	AFR	120.94	ACB	AFR
HG02557	HG02557	ieu-b-4817	AFR	1412.03	ACB	AFR
HG02558	HG02558	ieu-b-4817	AFR	1493.38	ACB	AFR
HG02561	HG02561	ieu-b-4817	AFR	-2405.61	GWD	AFR
HG02562	HG02562	ieu-b-4817	AFR	-2577.13	GWD	AFR
HG02568	HG02568	ieu-b-4817	AFR	-1149.17	GWD	AFR
HG02570	HG02570	ieu-b-4817	AFR	-1081.18	GWD	AFR
HG02571	HG02571	ieu-b-4817	AFR	-998.303	GWD	AFR
HG02573	HG02573	ieu-b-4817	AFR	-506.906	GWD	AFR
HG02574	HG02574	ieu-b-4817	AFR	1178.9	GWD	AFR
HG02577	HG02577	ieu-b-4817	AFR	-2397.06	ACB	AFR
HG02580	HG02580	ieu-b-4817	AFR	-22.0978	ACB	AFR
HG02582	HG02582	ieu-b-4817	AFR	2240.78	GWD	AFR
HG02583	HG02583	ieu-b-4817	AFR	-3474.79	GWD	AFR
HG02585	HG02585	ieu-b-4817	AFR	342.034	GWD	AFR
HG02586	HG02586	ieu-b-4817	AFR	-986.838	GWD	AFR
HG02588	HG02588	ieu-b-4817	AFR	-860.808	GWD	AFR
HG02589	HG02589	ieu-b-4817	AFR	-2902.39	GWD	AFR
HG02594	HG02594	ieu-b-4817	AFR	229.851	GWD	AFR
HG02595	HG02595	ieu-b-4817	AFR	-47.3129	GWD	AFR
HG02610	HG02610	ieu-b-4817	AFR	-2895.87	GWD	AFR
HG02611	HG02611	ieu-b-4817	AFR	575.105	GWD	AFR
HG02613	HG02613	ieu-b-4817	AFR	-1899.08	GWD	AFR
HG02614	HG02614	ieu-b-4817	AFR	-4178.49	GWD	AFR
HG02620	HG02620	ieu-b-4817	AFR	1741.45	GWD	AFR
HG02621	HG02621	ieu-b-4817	AFR	-341.166	GWD	AFR
HG02623	HG02623	ieu-b-4817	AFR	-347.141	GWD	AFR
HG02624	HG02624	ieu-b-4817	AFR	-1314.75	GWD	AFR
HG02628	HG02628	ieu-b-4817	AFR	-593.999	GWD	AFR
HG02629	HG02629	ieu-b-4817	AFR	-154.476	GWD	AFR
HG02634	HG02634	ieu-b-4817	AFR	-2384.61	GWD	AFR
HG02635	HG02635	ieu-b-4817	AFR	-1148.9	GWD	AFR
HG02642	HG02642	ieu-b-4817	AFR	-1623.71	GWD	AFR
HG02643	HG02643	ieu-b-4817	AFR	-1053.59	GWD	AFR
HG02645	HG02645	ieu-b-4817	AFR	-1483.39	GWD	AFR
HG02646	HG02646	ieu-b-4817	AFR	301.315	GWD	AFR
HG02666	HG02666	ieu-b-4817	AFR	-2506.88	GWD	AFR
HG02667	HG02667	ieu-b-4817	AFR	-1020.06	GWD	AFR
HG02675	HG02675	ieu-b-4817	AFR	467.621	GWD	AFR
HG02676	HG02676	ieu-b-4817	AFR	-2382.98	GWD	AFR
HG02678	HG02678	ieu-b-4817	AFR	116.776	GWD	AFR
HG02679	HG02679	ieu-b-4817	AFR	2493.72	GWD	AFR
HG02702	HG02702	ieu-b-4817	AFR	733.913	GWD	AFR
HG02703	HG02703	ieu-b-4817	AFR	-2583.64	GWD	AFR
HG02715	HG02715	ieu-b-4817	AFR	-407.691	GWD	AFR
HG02716	HG02716	ieu-b-4817	AFR	-161.892	GWD	AFR
HG02721	HG02721	ieu-b-4817	AFR	-1934.6	GWD	AFR
HG02722	HG02722	ieu-b-4817	AFR	-2088.38	GWD	AFR
HG02756	HG02756	ieu-b-4817	AFR	-222.467	GWD	AFR
HG02757	HG02757	ieu-b-4817	AFR	-231.307	GWD	AFR
HG02759	HG02759	ieu-b-4817	AFR	-1098.42	GWD	AFR
HG02760	HG02760	ieu-b-4817	AFR	-314.24	GWD	AFR
HG02763	HG02763	ieu-b-4817	AFR	635.737	GWD	AFR
HG02768	HG02768	ieu-b-4817	AFR	-3638.15	GWD	AFR
HG02769	HG02769	ieu-b-4817	AFR	-1293.55	GWD	AFR
HG02771	HG02771	ieu-b-4817	AFR	-2896.59	GWD	AFR
HG02772	HG02772	ieu-b-4817	AFR	-1000.05	GWD	AFR
HG02798	HG02798	ieu-b-4817	AFR	1084.76	GWD	AFR
HG02799	HG02799	ieu-b-4817	AFR	-680.684	GWD	AFR
HG02804	HG02804	ieu-b-4817	AFR	-952.811	GWD	AFR
HG02805	HG02805	ieu-b-4817	AFR	-554.101	GWD	AFR
HG02807	HG02807	ieu-b-4817	AFR	-163.932	GWD	AFR
HG02808	HG02808	ieu-b-4817	AFR	-4343.88	GWD	AFR
HG02810	HG02810	ieu-b-4817	AFR	634.122	GWD	AFR
HG02811	HG02811	ieu-b-4817	AFR	-368.047	GWD	AFR
HG02813	HG02813	ieu-b-4817	AFR	-371.551	GWD	AFR
HG02814	HG02814	ieu-b-4817	AFR	-952.333	GWD	AFR
HG02816	HG02816	ieu-b-4817	AFR	-3156.81	GWD	AFR
HG02817	HG02817	ieu-b-4817	AFR	-1519.7	GWD	AFR
HG02819	HG02819	ieu-b-4817	AFR	-375.309	GWD	AFR
HG02820	HG02820	ieu-b-4817	AFR	-2781.33	GWD	AFR
HG02836	HG02836	ieu-b-4817	AFR	-3161.36	GWD	AFR
HG02837	HG02837	ieu-b-4817	AFR	2306.03	GWD	AFR
HG02839	HG02839	ieu-b-4817	AFR	1144.93	GWD	AFR
HG02840	HG02840	ieu-b-4817	AFR	1478.73	GWD	AFR
HG02851	HG02851	ieu-b-4817	AFR	-2165.87	GWD	AFR
HG02852	HG02852	ieu-b-4817	AFR	-3283.97	GWD	AFR
HG02854	HG02854	ieu-b-4817	AFR	-2204.85	GWD	AFR
HG02855	HG02855	ieu-b-4817	AFR	-3810.56	GWD	AFR
HG02860	HG02860	ieu-b-4817	AFR	-3149.94	GWD	AFR
HG02861	HG02861	ieu-b-4817	AFR	-4711.04	GWD	AFR
HG02870	HG02870	ieu-b-4817	AFR	-2631.45	GWD	AFR
HG02878	HG02878	ieu-b-4817	AFR	1684.03	GWD	AFR
HG02879	HG02879	ieu-b-4817	AFR	-2088.04	GWD	AFR
HG02881	HG02881	ieu-b-4817	AFR	-1877.9	GWD	AFR
HG02882	HG02882	ieu-b-4817	AFR	-5485.24	GWD	AFR
HG02884	HG02884	ieu-b-4817	AFR	-3767.48	GWD	AFR
HG02885	HG02885	ieu-b-4817	AFR	-3248.98	GWD	AFR
HG02887	HG02887	ieu-b-4817	AFR	-2214.52	GWD	AFR
HG02888	HG02888	ieu-b-4817	AFR	-1860.06	GWD	AFR
HG02890	HG02890	ieu-b-4817	AFR	-470.852	GWD	AFR
HG02891	HG02891	ieu-b-4817	AFR	-4584.52	GWD	AFR
HG02895	HG02895	ieu-b-4817	AFR	-1079.09	GWD	AFR
HG02896	HG02896	ieu-b-4817	AFR	-3003.09	GWD	AFR
HG02922	HG02922	ieu-b-4817	AFR	952.034	ESN	AFR
HG02923	HG02923	ieu-b-4817	AFR	-123.526	ESN	AFR
HG02938	HG02938	ieu-b-4817	AFR	-72.1891	ESN	AFR
HG02941	HG02941	ieu-b-4817	AFR	-829.556	ESN	AFR
HG02943	HG02943	ieu-b-4817	AFR	-2284.14	ESN	AFR
HG02944	HG02944	ieu-b-4817	AFR	-3844.98	ESN	AFR
HG02946	HG02946	ieu-b-4817	AFR	-899.316	ESN	AFR
HG02947	HG02947	ieu-b-4817	AFR	-1151.41	ESN	AFR
HG02952	HG02952	ieu-b-4817	AFR	-839.394	ESN	AFR
HG02953	HG02953	ieu-b-4817	AFR	-593.965	ESN	AFR
HG02968	HG02968	ieu-b-4817	AFR	-3067.22	ESN	AFR
HG02970	HG02970	ieu-b-4817	AFR	-4404.92	ESN	AFR
HG02971	HG02971	ieu-b-4817	AFR	-960.709	ESN	AFR
HG02973	HG02973	ieu-b-4817	AFR	-1948.46	ESN	AFR
HG02974	HG02974	ieu-b-4817	AFR	1105.98	ESN	AFR
HG02976	HG02976	ieu-b-4817	AFR	-2590.82	ESN	AFR
HG02977	HG02977	ieu-b-4817	AFR	504.364	ESN	AFR
HG02979	HG02979	ieu-b-4817	AFR	-1443.37	ESN	AFR
HG02981	HG02981	ieu-b-4817	AFR	-2256.67	ESN	AFR
HG02982	HG02982	ieu-b-4817	AFR	-3380.56	GWD	AFR
HG02983	HG02983	ieu-b-4817	AFR	452.908	GWD	AFR
HG03024	HG03024	ieu-b-4817	AFR	1080.7	GWD	AFR
HG03025	HG03025	ieu-b-4817	AFR	-622.691	GWD	AFR
HG03027	HG03027	ieu-b-4817	AFR	-789.887	GWD	AFR
HG03028	HG03028	ieu-b-4817	AFR	-1387.51	GWD	AFR
HG03039	HG03039	ieu-b-4817	AFR	287.381	GWD	AFR
HG03040	HG03040	ieu-b-4817	AFR	-1439.16	GWD	AFR
HG03045	HG03045	ieu-b-4817	AFR	-946.853	GWD	AFR
HG03046	HG03046	ieu-b-4817	AFR	-2182.51	GWD	AFR
HG03048	HG03048	ieu-b-4817	AFR	-75.6897	GWD	AFR
HG03049	HG03049	ieu-b-4817	AFR	255.934	GWD	AFR
HG03052	HG03052	ieu-b-4817	AFR	-3049.25	MSL	AFR
HG03054	HG03054	ieu-b-4817	AFR	-1677.61	MSL	AFR
HG03055	HG03055	ieu-b-4817	AFR	233.003	MSL	AFR
HG03057	HG03057	ieu-b-4817	AFR	-2138.71	MSL	AFR
HG03058	HG03058	ieu-b-4817	AFR	1100.3	MSL	AFR
HG03060	HG03060	ieu-b-4817	AFR	-1706.48	MSL	AFR
HG03061	HG03061	ieu-b-4817	AFR	-3354.95	MSL	AFR
HG03063	HG03063	ieu-b-4817	AFR	-5925.31	MSL	AFR
HG03064	HG03064	ieu-b-4817	AFR	-3210.87	MSL	AFR
HG03066	HG03066	ieu-b-4817	AFR	-4925.83	MSL	AFR
HG03069	HG03069	ieu-b-4817	AFR	-2121.05	MSL	AFR
HG03072	HG03072	ieu-b-4817	AFR	-2556.98	MSL	AFR
HG03073	HG03073	ieu-b-4817	AFR	-1407.48	MSL	AFR
HG03074	HG03074	ieu-b-4817	AFR	875.332	MSL	AFR
HG03077	HG03077	ieu-b-4817	AFR	-158.015	MSL	AFR
HG03078	HG03078	ieu-b-4817	AFR	-511.465	MSL	AFR
HG03079	HG03079	ieu-b-4817	AFR	-274.083	MSL	AFR
HG03081	HG03081	ieu-b-4817	AFR	-1240.74	MSL	AFR
HG03082	HG03082	ieu-b-4817	AFR	1633.58	MSL	AFR
HG03084	HG03084	ieu-b-4817	AFR	486.521	MSL	AFR
HG03085	HG03085	ieu-b-4817	AFR	-1632.8	MSL	AFR
HG03086	HG03086	ieu-b-4817	AFR	-628.294	MSL	AFR
HG03088	HG03088	ieu-b-4817	AFR	136.54	MSL	AFR
HG03091	HG03091	ieu-b-4817	AFR	-1867.16	MSL	AFR
HG03095	HG03095	ieu-b-4817	AFR	-3070.51	MSL	AFR
HG03096	HG03096	ieu-b-4817	AFR	2194.99	MSL	AFR
HG03097	HG03097	ieu-b-4817	AFR	-660.597	MSL	AFR
HG03099	HG03099	ieu-b-4817	AFR	-1331.69	ESN	AFR
HG03100	HG03100	ieu-b-4817	AFR	-2115.39	ESN	AFR
HG03103	HG03103	ieu-b-4817	AFR	-1039.89	ESN	AFR
HG03105	HG03105	ieu-b-4817	AFR	-769.259	ESN	AFR
HG03108	HG03108	ieu-b-4817	AFR	-123.071	ESN	AFR
HG03109	HG03109	ieu-b-4817	AFR	-3448.77	ESN	AFR
HG03111	HG03111	ieu-b-4817	AFR	-2025.87	ESN	AFR
HG03112	HG03112	ieu-b-4817	AFR	-5121	ESN	AFR
HG03114	HG03114	ieu-b-4817	AFR	-412.088	ESN	AFR
HG03115	HG03115	ieu-b-4817	AFR	-612.69	ESN	AFR
HG03117	HG03117	ieu-b-4817	AFR	-1330.72	ESN	AFR
HG03118	HG03118	ieu-b-4817	AFR	-1138.5	ESN	AFR
HG03120	HG03120	ieu-b-4817	AFR	129.566	ESN	AFR
HG03121	HG03121	ieu-b-4817	AFR	-2750.27	ESN	AFR
HG03123	HG03123	ieu-b-4817	AFR	-1570.79	ESN	AFR
HG03124	HG03124	ieu-b-4817	AFR	-328.084	ESN	AFR
HG03126	HG03126	ieu-b-4817	AFR	-638.255	ESN	AFR
HG03127	HG03127	ieu-b-4817	AFR	-333.023	ESN	AFR
HG03129	HG03129	ieu-b-4817	AFR	33.5486	ESN	AFR
HG03130	HG03130	ieu-b-4817	AFR	-1732.9	ESN	AFR
HG03132	HG03132	ieu-b-4817	AFR	2341.97	ESN	AFR
HG03133	HG03133	ieu-b-4817	AFR	302.82	ESN	AFR
HG03135	HG03135	ieu-b-4817	AFR	-5520.63	ESN	AFR
HG03136	HG03136	ieu-b-4817	AFR	-1764.8	ESN	AFR
HG03139	HG03139	ieu-b-4817	AFR	-1474.03	ESN	AFR
HG03157	HG03157	ieu-b-4817	AFR	-1127.24	ESN	AFR
HG03159	HG03159	ieu-b-4817	AFR	539.024	ESN	AFR
HG03160	HG03160	ieu-b-4817	AFR	-3886.01	ESN	AFR
HG03162	HG03162	ieu-b-4817	AFR	-756.676	ESN	AFR
HG03163	HG03163	ieu-b-4817	AFR	2161.76	ESN	AFR
HG03166	HG03166	ieu-b-4817	AFR	6.79249	ESN	AFR
HG03168	HG03168	ieu-b-4817	AFR	304.012	ESN	AFR
HG03169	HG03169	ieu-b-4817	AFR	-3646.49	ESN	AFR
HG03172	HG03172	ieu-b-4817	AFR	-2881.81	ESN	AFR
HG03175	HG03175	ieu-b-4817	AFR	-4.5007	ESN	AFR
HG03189	HG03189	ieu-b-4817	AFR	-1937.97	ESN	AFR
HG03190	HG03190	ieu-b-4817	AFR	4167.15	ESN	AFR
HG03193	HG03193	ieu-b-4817	AFR	-4341.96	ESN	AFR
HG03195	HG03195	ieu-b-4817	AFR	-771.977	ESN	AFR
HG03196	HG03196	ieu-b-4817	AFR	-3104.05	ESN	AFR
HG03198	HG03198	ieu-b-4817	AFR	-134.033	ESN	AFR
HG03199	HG03199	ieu-b-4817	AFR	-768.698	ESN	AFR
HG03202	HG03202	ieu-b-4817	AFR	-837.024	ESN	AFR
HG03209	HG03209	ieu-b-4817	AFR	-564.15	MSL	AFR
HG03212	HG03212	ieu-b-4817	AFR	-3741.3	MSL	AFR
HG03224	HG03224	ieu-b-4817	AFR	-2213.98	MSL	AFR
HG03225	HG03225	ieu-b-4817	AFR	-2075.99	MSL	AFR
HG03240	HG03240	ieu-b-4817	AFR	-1380.95	GWD	AFR
HG03241	HG03241	ieu-b-4817	AFR	-731.7	GWD	AFR
HG03246	HG03246	ieu-b-4817	AFR	-649.713	GWD	AFR
HG03247	HG03247	ieu-b-4817	AFR	64.3476	GWD	AFR
HG03258	HG03258	ieu-b-4817	AFR	767.203	GWD	AFR
HG03259	HG03259	ieu-b-4817	AFR	-146.731	GWD	AFR
HG03265	HG03265	ieu-b-4817	AFR	666.507	ESN	AFR
HG03267	HG03267	ieu-b-4817	AFR	-770.048	ESN	AFR
HG03268	HG03268	ieu-b-4817	AFR	948.945	ESN	AFR
HG03270	HG03270	ieu-b-4817	AFR	-311.604	ESN	AFR
HG03271	HG03271	ieu-b-4817	AFR	-647.068	ESN	AFR
HG03279	HG03279	ieu-b-4817	AFR	-2299.6	ESN	AFR
HG03280	HG03280	ieu-b-4817	AFR	-118.918	ESN	AFR
HG03291	HG03291	ieu-b-4817	AFR	-517.45	ESN	AFR
HG03294	HG03294	ieu-b-4817	AFR	-81.2402	ESN	AFR
HG03295	HG03295	ieu-b-4817	AFR	-3660.33	ESN	AFR
HG03297	HG03297	ieu-b-4817	AFR	-2672.02	ESN	AFR
HG03298	HG03298	ieu-b-4817	AFR	-1953.31	ESN	AFR
HG03300	HG03300	ieu-b-4817	AFR	-3745	ESN	AFR
HG03301	HG03301	ieu-b-4817	AFR	3018.45	ESN	AFR
HG03303	HG03303	ieu-b-4817	AFR	507.457	ESN	AFR
HG03304	HG03304	ieu-b-4817	AFR	-971.283	ESN	AFR
HG03311	HG03311	ieu-b-4817	AFR	-82.7856	ESN	AFR
HG03313	HG03313	ieu-b-4817	AFR	-3054.94	ESN	AFR
HG03342	HG03342	ieu-b-4817	AFR	-1076.32	ESN	AFR
HG03343	HG03343	ieu-b-4817	AFR	-2883.39	ESN	AFR
HG03351	HG03351	ieu-b-4817	AFR	-545.488	ESN	AFR
HG03352	HG03352	ieu-b-4817	AFR	-3039.18	ESN	AFR
HG03354	HG03354	ieu-b-4817	AFR	-1140.41	ESN	AFR
HG03363	HG03363	ieu-b-4817	AFR	-2671.48	ESN	AFR
HG03366	HG03366	ieu-b-4817	AFR	-472.75	ESN	AFR
HG03367	HG03367	ieu-b-4817	AFR	-3092.52	ESN	AFR
HG03369	HG03369	ieu-b-4817	AFR	616.265	ESN	AFR
HG03370	HG03370	ieu-b-4817	AFR	-1414.73	ESN	AFR
HG03372	HG03372	ieu-b-4817	AFR	34.3862	ESN	AFR
HG03376	HG03376	ieu-b-4817	AFR	-4419.17	MSL	AFR
HG03378	HG03378	ieu-b-4817	AFR	-1609.13	MSL	AFR
HG03380	HG03380	ieu-b-4817	AFR	-1732.54	MSL	AFR
HG03382	HG03382	ieu-b-4817	AFR	-2515.87	MSL	AFR
HG03385	HG03385	ieu-b-4817	AFR	-1189.31	MSL	AFR
HG03388	HG03388	ieu-b-4817	AFR	106.898	MSL	AFR
HG03391	HG03391	ieu-b-4817	AFR	-3070.82	MSL	AFR
HG03394	HG03394	ieu-b-4817	AFR	-1549.74	MSL	AFR
HG03397	HG03397	ieu-b-4817	AFR	-899.003	MSL	AFR
HG03401	HG03401	ieu-b-4817	AFR	-3325.49	MSL	AFR
HG03410	HG03410	ieu-b-4817	AFR	-1337.49	MSL	AFR
HG03419	HG03419	ieu-b-4817	AFR	-4480.35	MSL	AFR
HG03428	HG03428	ieu-b-4817	AFR	1109.32	MSL	AFR
HG03432	HG03432	ieu-b-4817	AFR	1705.34	MSL	AFR
HG03433	HG03433	ieu-b-4817	AFR	-1463.27	MSL	AFR
HG03436	HG03436	ieu-b-4817	AFR	-4607.36	MSL	AFR
HG03437	HG03437	ieu-b-4817	AFR	940.482	MSL	AFR
HG03439	HG03439	ieu-b-4817	AFR	-780.026	MSL	AFR
HG03442	HG03442	ieu-b-4817	AFR	-810.98	MSL	AFR
HG03445	HG03445	ieu-b-4817	AFR	-2846.47	MSL	AFR
HG03446	HG03446	ieu-b-4817	AFR	-2509.36	MSL	AFR
HG03449	HG03449	ieu-b-4817	AFR	-4028.32	MSL	AFR
HG03451	HG03451	ieu-b-4817	AFR	-1496.41	MSL	AFR
HG03452	HG03452	ieu-b-4817	AFR	-1356.18	MSL	AFR
HG03455	HG03455	ieu-b-4817	AFR	1089.83	MSL	AFR
HG03457	HG03457	ieu-b-4817	AFR	-2282.44	MSL	AFR
HG03458	HG03458	ieu-b-4817	AFR	-3.71663	MSL	AFR
HG03460	HG03460	ieu-b-4817	AFR	-2759.21	MSL	AFR
HG03461	HG03461	ieu-b-4817	AFR	-2401.67	MSL	AFR
HG03464	HG03464	ieu-b-4817	AFR	-2439.42	MSL	AFR
