Level,Sex,SuperPop,n,beta1,se,r,p
Global,Boys,All,26,-0.8102279347952515,0.9592206828852465,-0.16991111508451773,0.40663510087815613
Global,Girls,All,26,0.31869692330650684,0.7837001926786747,0.082723937113399,0.6878638687034371
Within-superpop,Boys,AFR,7,-1.9426010241615954,1.6560793414833934,-0.46454712296583245,0.29362585508943934
Within-superpop,Boys,AMR,4,-2.237478675592975,3.0579251696616208,-0.4595262386902093,0.5404737613097921
Within-superpop,Boys,EAS,5,2.3713044809813435,0.7985436141742004,0.8638015456649437,0.05909007235179281
Within-superpop,Boys,EUR,5,1.4805994319809817,0.8961071160292345,0.6902431262693717,0.19705095284541488
Within-superpop,Boys,SAS,5,0.7254092945695176,0.5788525454168192,0.5861848882573384,0.29891898239188014
Within-superpop,Girls,AFR,7,-1.9359142945403023,1.002975530674253,-0.6534300920076932,0.11146584823027274
Within-superpop,Girls,AMR,4,-1.4408885712874646,2.278029380034696,-0.4082804715250394,0.5917195284749617
Within-superpop,Girls,EAS,5,2.123616630053203,0.32036287059975654,0.9675172878865851,0.006993343238145764
Within-superpop,Girls,EUR,5,1.1373533331956625,0.7861374103802731,0.6410693847749077,0.24375897101729993
Within-superpop,Girls,SAS,5,0.8197449688197345,0.42082928761336086,0.7473026992718373,0.14657043282264015
